"road","identifier","extent","point","display_type","title","subtitle","delay_minutes","abnormalTrafficType","averageSpeed","startTimestamp","description","latitude","longitude"
"A1","undefined--vi-avl.2025-05-27_11-34-14-000.f_017.de0","51.01185592461881,6.91711149586011,51.03752935887865,6.985478808650202","51.01185592461881,6.91711149586011","WARNING","A1 | Köln-Nord - Leverkusen"," Euskirchen -> Dortmund",8,"QUEUING_TRAFFIC","29",2025-05-27,"Beginn: 27.05.25 um 11:34 Uhr  Angespannte Verkehrslage, seit 27.05.2025, 11:34 A1: Euskirchen -> Dortmund, zwischen 2.5 km hinter AK Köln-Nord und 1.6 km vor AK Leverkusen  Stockender Verkehr Reisezeitverlust: 8 Minuten Durchschnittsgeschwindigkeit: 29 km/h",51.0118559246188,6.91711149586011
"A1","undefined--vi-avl.2025-05-27_14-17-18-000.f_007.de0","51.01185592461881,6.91711149586011,51.01185592461881,6.91711149586011","51.01185592461881,6.91711149586011","WARNING","A1 | Köln-Niehl - Köln-Niehl"," Köln -> Dortmund",NA,"QUEUING_TRAFFIC","29",2025-05-27,"Beginn: 27.05.25 um 14:21 Uhr  Angespannte Verkehrslage, seit 27.05.2025, 14:21 A1: Köln -> Dortmund, 2.3 km vor AS Köln-Niehl, aus Richtung Köln-Nord  Stockender Verkehr Durchschnittsgeschwindigkeit: 29 km/h",51.0118559246188,6.91711149586011
"A1","undefined--vi-zus.2025-05-27_12-35-32-000.f_008.de0","51.27346507797656,7.256638273838546,51.30275679104875,7.262954365965742","51.27346507797656,7.256638273838546","WARNING","A1 | Kucksiepen - Wuppertal-Nord"," Köln -> Dortmund",1,"SLOW_TRAFFIC","59.900001525878906",2025-05-27,"Beginn: 27.05.25 um 12:35 Uhr  Zusammengesetzte Verkehrsinformation, seit 27.05.2025, 12:35 A1: Köln -> Dortmund, zwischen 1.0 km hinter Kucksiepen und 1.4 km vor AK Wuppertal-Nord  Langsamer Verkehr Reisezeitverlust: 1 Minuten Durchschnittsgeschwindigkeit: 59 km/h",51.2734650779766,7.25663827383855
"A1","undefined--vi-avl.2025-05-27_13-58-03-000.f_022.de0","51.48067170842414,7.612955190847887,51.542604084585236,7.662760698598686","51.48067170842414,7.612955190847887","WARNING","A1 | Lichtendorf - Kamen-Zentrum"," Köln -> Münster",6,"SLOW_TRAFFIC","42.70000076293945",2025-05-27,"Beginn: 27.05.25 um 13:58 Uhr  Angespannte Verkehrslage, seit 27.05.2025, 13:58 A1: Köln -> Münster, zwischen 1.8 km hinter Lichtendorf und 3.7 km vor AS Kamen-Zentrum  Langsamer Verkehr Reisezeitverlust: 6 Minuten Durchschnittsgeschwindigkeit: 42 km/h",51.4806717084241,7.61295519084789
"A1","undefined--vi-avl.2025-05-27_06-44-39-000.f_012.de0","53.01773600311481,8.7712344953116,53.031998737770834,8.865862565211978","53.01773600311481,8.7712344953116","WARNING","A1 | Stuhr - Bremen-Hemelingen"," Osnabrück -> Bremen",4,"SLOW_TRAFFIC","54.400001525878906",2025-05-27,"Beginn: 27.05.25 um 06:44 Uhr  Angespannte Verkehrslage, seit 27.05.2025, 06:44 A1: Osnabrück -> Bremen, zwischen 4.8 km hinter AD Stuhr und 1.6 km vor AS Bremen-Hemelingen  Langsamer Verkehr Reisezeitverlust: 4 Minuten Durchschnittsgeschwindigkeit: 54 km/h",53.0177360031148,8.7712344953116
"A1","undefined--vi-avl.2025-05-27_12-34-20-000.f_016.de0","53.05696862128616,9.080208861548192,53.05696862128616,9.080208861548192","53.05696862128616,9.080208861548192","WARNING","A1 | Oyten - Oyten"," Hamburg -> Bremen",NA,"STATIONARY_TRAFFIC","21",2025-05-27,"Beginn: 27.05.25 um 14:21 Uhr  Angespannte Verkehrslage, seit 27.05.2025, 14:21 A1: Hamburg -> Bremen, 3.4 km vor AS Oyten, aus Richtung Tuchten  Im Stillstand Durchschnittsgeschwindigkeit: 21 km/h",53.0569686212862,9.08020886154819
"A1","undefined--vi-avl.2025-05-27_05-46-00-000.f_002.de0","53.056944465586504,9.079988675121022,53.03094414167312,8.862990865216004","53.056944465586504,9.079988675121022","WARNING","A1 | Tuchten - Bremen-Arsten"," Hamburg -> Osnabrück",37,"STATIONARY_TRAFFIC","20.899999618530273",2025-05-27,"Beginn: 27.05.25 um 05:46 Uhr  Angespannte Verkehrslage, seit 27.05.2025, 05:46 A1: Hamburg -> Osnabrück, zwischen 3.3 km hinter Tuchten und 0.3 km vor AS Bremen-Arsten  Im Stillstand Reisezeitverlust: 37 Minuten Durchschnittsgeschwindigkeit: 20 km/h",53.0569444655865,9.07998867512102
"A1","undefined--vi-zus.2025-05-27_12-12-04-000.f_008.de0","53.28599094792877,9.48331869947819,53.290966884138555,9.503113061034604","53.28599094792877,9.48331869947819","WARNING","A1 | Hatzte - Sittensen"," Bremen -> Hamburg",NA,NA,NA,2025-05-27,"Beginn: 27.05.25 um 12:12 Uhr  Zusammengesetzte Verkehrsinformation, seit 27.05.2025, 12:12 A1: Bremen -> Hamburg, zwischen 5.0 km hinter Hatzte und 0.3 km vor AS Sittensen  Gefahr durch ein defektes Fahrzeugs auf der Fahrbahn  A1 Bremen Richtung Hamburg zwischen Elsdorf und Sittensen Gefahr durch brennendes Fahrzeug auf dem Standstreifen, Sichtbehinderung durch Rauch, linker Fahrstreifen wieder befahrbar, mittlerer Fahrstreifen wieder befahrbar",53.2859909479288,9.48331869947819
"A1","undefined--vi-zus.2025-05-27_13-26-50-000.f.de0","53.25979381964576,9.436762136840214,53.289083449382076,9.495122699540829","53.25979381964576,9.436762136840214","WARNING","A1 | Hatzte - Sittensen"," Bremen -> Hamburg",10,"STATIONARY_TRAFFIC","25.100000381469727",2025-05-27,"Beginn: 27.05.25 um 13:26 Uhr  Zusammengesetzte Verkehrsinformation, seit 27.05.2025, 13:26 A1: Bremen -> Hamburg, zwischen 0.7 km hinter Hatzte und 0.9 km vor AS Sittensen  Im Stillstand Reisezeitverlust: 10 Minuten Durchschnittsgeschwindigkeit: 25 km/h",53.2597938196458,9.43676213684021
"A1","undefined--vi-avl.2025-05-27_13-28-19-000.f_005.de0","53.25979381964576,9.436762136840214,53.25979381964576,9.436762136840214","53.25979381964576,9.436762136840214","WARNING","A1 | Sittensen - Sittensen"," Bremen -> Hamburg",NA,"STATIONARY_TRAFFIC","17",2025-05-27,"Beginn: 27.05.25 um 14:21 Uhr  Angespannte Verkehrslage, seit 27.05.2025, 14:21 A1: Bremen -> Hamburg, 6.0 km vor AS Sittensen, aus Richtung Hatzte  Im Stillstand Durchschnittsgeschwindigkeit: 17 km/h",53.2597938196458,9.43676213684021
