"road","identifier","extent","point","display_type","title","subtitle","delay_minutes","abnormalTrafficType","averageSpeed","startTimestamp","description","latitude","longitude"
"A1","undefined--vi-avl.2025-05-22_11-41-34-000.f.de0","49.80490376934746,6.75973642133977,49.81820940094194,6.758369799994587","49.80490376934746,6.75973642133977","WARNING","A1 | Rioler Wald - Schweich"," Saarbrücken -> Köln/Koblenz",1,"SLOW_TRAFFIC","49.29999923706055",2025-05-22,"Beginn: 22.05.25 um 11:41 Uhr  Angespannte Verkehrslage, seit 22.05.2025, 11:41 A1: Saarbrücken -> Köln/Koblenz, zwischen 5.3 km hinter Rioler Wald und 2.0 km vor AS Schweich  Langsamer Verkehr Reisezeitverlust: 1 Minuten Durchschnittsgeschwindigkeit: 49 km/h",49.8049037693475,6.75973642133977
"A1","undefined--vi-hind.2025-05-22_10-02-19-000.f_004.de0","51.02101306856156,6.936344642125283,51.00107540093625,6.900535999996291","51.02101306856156,6.936344642125283","WARNING","A1 | Köln-Niehl - Köln-Nord"," Dortmund -> Euskirchen",NA,NA,NA,2025-05-22,"Beginn: 22.05.25 um 10:02 Uhr  Hindernis, seit 22.05.2025, 10:02 A1: Dortmund -> Euskirchen, zwischen 0.6 km hinter AS Köln-Niehl und 0.8 km vor AK Köln-Nord  Gefahr durch eine ungesicherte Unfallstelle",51.0210130685616,6.93634464212528
"A1","undefined--vi-zus.2025-05-22_08-12-36-000.f_001.de0","51.02101306856156,6.936344642125283,51.00107540093625,6.900535999996291","51.02101306856156,6.936344642125283","WARNING","A1 | Köln-Niehl - Köln-Nord"," Dortmund -> Euskirchen",3,"QUEUING_TRAFFIC","37.900001525878906",2025-05-22,"Beginn: 22.05.25 um 08:12 Uhr  Zusammengesetzte Verkehrsinformation, seit 22.05.2025, 08:12 A1: Dortmund -> Euskirchen, zwischen 0.6 km hinter AS Köln-Niehl und 0.8 km vor AK Köln-Nord  Stockender Verkehr Reisezeitverlust: 3 Minuten Durchschnittsgeschwindigkeit: 37 km/h  Gefahr durch eine ungesicherte Unfallstelle",51.0210130685616,6.93634464212528
"A1","undefined--vi-avl.2025-05-22_11-10-24-000.f_003.de0","51.036717406661815,6.965787297508379,51.03744308106357,6.987565714040063","51.036717406661815,6.965787297508379","WARNING","A1 | Leverkusen-West - Leverkusen"," Köln -> Dortmund",0,"SLOW_TRAFFIC","51.70000076293945",2025-05-22,"Beginn: 22.05.25 um 11:10 Uhr  Angespannte Verkehrslage, seit 22.05.2025, 11:10 A1: Köln -> Dortmund, zwischen 0.1 km hinter AK Leverkusen-West und 1.5 km vor AK Leverkusen  Langsamer Verkehr Reisezeitverlust: 0 Minuten Durchschnittsgeschwindigkeit: 51 km/h",51.0367174066618,6.96578729750838
"A1","undefined--vi-zus.2025-05-22_10-50-55-000.f_003.de0","51.26585044201009,7.247873952234782,51.30235466972586,7.2628834853500415","51.26585044201009,7.247873952234782","WARNING","A1 | Ehrenberg - Wuppertal-Nord"," Köln -> Dortmund",1,"SLOW_TRAFFIC","59.29999923706055",2025-05-22,"Beginn: 22.05.25 um 10:50 Uhr  Zusammengesetzte Verkehrsinformation, seit 22.05.2025, 10:50 A1: Köln -> Dortmund, zwischen 0.3 km hinter Ehrenberg und 1.4 km vor AK Wuppertal-Nord  Langsamer Verkehr Reisezeitverlust: 1 Minuten Durchschnittsgeschwindigkeit: 59 km/h",51.2658504420101,7.24787395223478
"A1","undefined--vi-avl.2025-05-22_10-51-29-000.f.de0","51.375999642773,7.424977468789541,51.36496527521685,7.39932965421491","51.375999642773,7.424977468789541","WARNING","A1 | Hagen-West - Volmarstein"," Dortmund -> Köln",1,"SLOW_TRAFFIC","46.79999923706055",2025-05-22,"Beginn: 22.05.25 um 10:57 Uhr  Angespannte Verkehrslage, seit 22.05.2025, 10:57 A1: Dortmund -> Köln, zwischen 1.5 km hinter AS Hagen-West und 1.1 km vor AS Volmarstein  Langsamer Verkehr Reisezeitverlust: 1 Minuten Durchschnittsgeschwindigkeit: 46 km/h",51.375999642773,7.42497746878954
"A1","undefined--vi-avl.2025-05-22_11-19-36-000.f_002.de0","51.495819770797134,7.636604856337988,51.54119564225324,7.662464110349109","51.495819770797134,7.636604856337988","WARNING","A1 | Lichtendorf - Kamen-Zentrum"," Köln -> Münster",3,"SLOW_TRAFFIC","50.29999923706055",2025-05-22,"Beginn: 22.05.25 um 11:19 Uhr  Angespannte Verkehrslage, seit 22.05.2025, 11:19 A1: Köln -> Münster, zwischen 4.2 km hinter Lichtendorf und 3.9 km vor AS Kamen-Zentrum  Langsamer Verkehr Reisezeitverlust: 3 Minuten Durchschnittsgeschwindigkeit: 50 km/h",51.4958197707971,7.63660485633799
"A1","undefined--vi-avl.2025-05-22_07-30-01-000.f_012.de0","53.01313907990814,8.752484733486108,53.02534010302179,8.84935078855606","53.01313907990814,8.752484733486108","WARNING","A1 | Stuhr - Bremen-Arsten"," Osnabrück -> Bremen",3,"SLOW_TRAFFIC","62.900001525878906",2025-05-22,"Beginn: 22.05.25 um 07:30 Uhr  Angespannte Verkehrslage, seit 22.05.2025, 07:30 A1: Osnabrück -> Bremen, zwischen 3.5 km hinter AD Stuhr und 0.8 km vor AS Bremen-Arsten  Langsamer Verkehr Reisezeitverlust: 3 Minuten Durchschnittsgeschwindigkeit: 62 km/h",53.0131390799081,8.75248473348611
"A1","undefined--vi-avl.2025-05-22_06-30-00-000.f.de0","53.05267628355029,9.033095341630435,53.03184767902425,8.865127051627695","53.05267628355029,9.033095341630435","WARNING","A1 | Tuchten - Bremen-Arsten"," Hamburg -> Osnabrück",15,"QUEUING_TRAFFIC","34.400001525878906",2025-05-22,"Beginn: 22.05.25 um 06:30 Uhr  Angespannte Verkehrslage, seit 22.05.2025, 06:30 A1: Hamburg -> Osnabrück, zwischen 6.5 km hinter Tuchten und 0.5 km vor AS Bremen-Arsten  Stockender Verkehr Reisezeitverlust: 15 Minuten Durchschnittsgeschwindigkeit: 34 km/h",53.0526762835503,9.03309534163044
"A1","undefined--vi-zus.2025-05-22_06-13-30-000.f.de0","53.51569467652453,10.11390473187293,53.50951363478678,10.054125056674321","53.51569467652453,10.11390473187293","WARNING","A1 | Hamburg-Billstedt - Hamburg-Norderelbe"," Lübeck -> Hamburg",5,"QUEUING_TRAFFIC","30.700000762939453",2025-05-22,"Beginn: 22.05.25 um 06:13 Uhr  Zusammengesetzte Verkehrsinformation, seit 22.05.2025, 06:13 A1: Lübeck -> Hamburg, zwischen 1.8 km hinter AS Hamburg-Billstedt und 1.2 km vor AK Hamburg-Norderelbe  Stockender Verkehr Reisezeitverlust: 5 Minuten Durchschnittsgeschwindigkeit: 30 km/h",53.5156946765245,10.1139047318729
"A1","undefined--vi-avl.2025-05-22_11-43-18-000.f_014.de0","53.9856026061558,10.733505659111774,53.9856026061558,10.733505659111774","53.9856026061558,10.733505659111774","WARNING","A1 | Ratekau - Ratekau"," Fehmarn -> Lübeck",NA,"SLOW_TRAFFIC","18",2025-05-22,"Beginn: 22.05.25 um 11:44 Uhr  Angespannte Verkehrslage, seit 22.05.2025, 11:44 A1: Fehmarn -> Lübeck, 4.3 km vor AS Ratekau, aus Richtung Pansdorf  Langsamer Verkehr Durchschnittsgeschwindigkeit: 18 km/h",53.9856026061558,10.7335056591118
"A1","undefined--vi-avl.2025-05-22_09-37-58-000.f_027.de0","53.9856026061558,10.733505659111774,53.96047558414601,10.741458052607353","53.9856026061558,10.733505659111774","WARNING","A1 | Pansdorf - Ratekau"," Fehmarn -> Lübeck",2,"SLOW_TRAFFIC","39.400001525878906",2025-05-22,"Beginn: 22.05.25 um 09:37 Uhr  Angespannte Verkehrslage, seit 22.05.2025, 09:37 A1: Fehmarn -> Lübeck, zwischen 2.3 km hinter AS Pansdorf und 1.4 km vor AS Ratekau  Langsamer Verkehr Reisezeitverlust: 2 Minuten Durchschnittsgeschwindigkeit: 39 km/h",53.9856026061558,10.7335056591118
"A1","undefined--vi-avl.2025-05-22_11-43-18-000.f_005.de0","54.05771648508962,10.740706714647441,54.05771648508962,10.740706714647441","54.05771648508962,10.740706714647441","WARNING","A1 | Eutin - Eutin"," Fehmarn -> Lübeck",NA,"SLOW_TRAFFIC","25",2025-05-22,"Beginn: 22.05.25 um 11:44 Uhr  Angespannte Verkehrslage, seit 22.05.2025, 11:44 A1: Fehmarn -> Lübeck, 0.8 km vor AS Eutin, aus Richtung Neustädter Bucht  Langsamer Verkehr Durchschnittsgeschwindigkeit: 25 km/h",54.0577164850896,10.7407067146474
"A1","undefined--vi-avl.2025-05-22_10-14-05-000.f_004.de0","54.05781423262742,10.740864481005236,54.03955512230249,10.72820120196231","54.05781423262742,10.740864481005236","WARNING","A1 | Neustädter Bucht - Scharbeutz"," Fehmarn -> Lübeck",1,"SLOW_TRAFFIC","49.29999923706055",2025-05-22,"Beginn: 22.05.25 um 10:14 Uhr  Angespannte Verkehrslage, seit 22.05.2025, 10:14 A1: Fehmarn -> Lübeck, zwischen 1.7 km hinter Neustädter Bucht und 0.6 km vor AS Scharbeutz  Langsamer Verkehr Reisezeitverlust: 1 Minuten Durchschnittsgeschwindigkeit: 49 km/h",54.0578142326274,10.7408644810052
"A2","undefined--vi-avl.2025-05-22_05-40-30-000.f_001.de0","52.11956422713218,8.73727358358841,52.09340980092969,8.701981799999896","52.11956422713218,8.73727358358841","WARNING","A2 | Herford-Ost - Herford/Bad Salzuflen"," Hannover -> Dortmund",4,"QUEUING_TRAFFIC","37.79999923706055",2025-05-22,"Beginn: 22.05.25 um 05:40 Uhr  Angespannte Verkehrslage, seit 22.05.2025, 05:40 A2: Hannover -> Dortmund, zwischen 1.3 km hinter AS Herford-Ost und 0.6 km vor AS Herford/Bad Salzuflen  Stockender Verkehr Reisezeitverlust: 4 Minuten Durchschnittsgeschwindigkeit: 37 km/h",52.1195642271322,8.73727358358841
