"road","identifier","extent","point","display_type","title","subtitle","delay_minutes","abnormalTrafficType","averageSpeed","startTimestamp","description","latitude","longitude"
"A1","undefined--vi-zus.2025-05-21_06-59-24-000.f_005.de0","50.86782702784716,6.803995097259605,50.775998381552775,6.815771221218178","50.86782702784716,6.803995097259605","WARNING","A1 | Gleuel - Bliesheim"," Köln -> Euskirchen",16,"QUEUING_TRAFFIC","30",2025-05-21,"Beginn: 21.05.25 um 06:59 Uhr  Zusammengesetzte Verkehrsinformation, seit 21.05.2025, 06:59 A1: Köln -> Euskirchen, zwischen 2.8 km hinter AS Gleuel und 0.7 km vor AK Bliesheim  Stockender Verkehr Reisezeitverlust: 16 Minuten Durchschnittsgeschwindigkeit: 30 km/h",50.8678270278472,6.80399509725961
"A1","undefined--vi-avl.2025-05-21_16-44-20-000.f_018.de0","50.92042043014155,6.8427217095238,50.92042043014155,6.8427217095238","50.92042043014155,6.8427217095238","WARNING","A1 | Frechen - Frechen"," Köln -> Euskirchen",NA,"QUEUING_TRAFFIC","26",2025-05-21,"Beginn: 21.05.25 um 16:44 Uhr  Angespannte Verkehrslage, seit 21.05.2025, 16:44 A1: Köln -> Euskirchen, 0.3 km vor AS Frechen, aus Richtung Köln-West  Stockender Verkehr Durchschnittsgeschwindigkeit: 26 km/h",50.9204204301415,6.8427217095238
"A1","undefined--vi-avl.2025-05-21_15-32-36-000.f_025.de0","50.924266754546906,6.844369134931201,50.93368113351677,6.84923459501745","50.924266754546906,6.844369134931201","WARNING","A1 | Frechen - Lövenich"," Euskirchen -> Köln",1,"QUEUING_TRAFFIC","28.200000762939453",2025-05-21,"Beginn: 21.05.25 um 15:32 Uhr  Angespannte Verkehrslage, seit 21.05.2025, 15:32 A1: Euskirchen -> Köln, zwischen 0.8 km hinter AS Frechen und 0.5 km vor Lövenich  Stockender Verkehr Reisezeitverlust: 1 Minuten Durchschnittsgeschwindigkeit: 28 km/h",50.9242667545469,6.8443691349312
"A1","undefined--vi-avl.2025-05-21_15-40-20-000.f.de0","50.92040245988472,6.842720765121248,50.89695487838815,6.83195840276146","50.92040245988472,6.842720765121248","WARNING","A1 | Köln-West - Gleuel"," Köln -> Euskirchen",2,"QUEUING_TRAFFIC","42.70000076293945",2025-05-21,"Beginn: 21.05.25 um 15:40 Uhr  Angespannte Verkehrslage, seit 21.05.2025, 15:40 A1: Köln -> Euskirchen, zwischen 0.6 km hinter AK Köln-West und 1.5 km vor AS Gleuel  Stockender Verkehr Reisezeitverlust: 2 Minuten Durchschnittsgeschwindigkeit: 42 km/h",50.9204024598847,6.84272076512125
"A1","undefined--vi-avl.2025-05-21_16-37-49-000.f_033.de0","50.924283219543895,6.844380565122833,50.924283219543895,6.844380565122833","50.924283219543895,6.844380565122833","WARNING","A1 | Köln-West - Köln-West"," Euskirchen -> Köln",NA,"QUEUING_TRAFFIC","16",2025-05-21,"Beginn: 21.05.25 um 16:44 Uhr  Angespannte Verkehrslage, seit 21.05.2025, 16:44 A1: Euskirchen -> Köln, 0.2 km vor AK Köln-West, aus Richtung Frechen  Stockender Verkehr Durchschnittsgeschwindigkeit: 16 km/h",50.9242832195439,6.84438056512283
"A1","undefined--vi-avl.2025-05-21_11-50-21-000.f_007.de0","50.972641755932855,6.850147046666588,51.03761188059395,6.984491161004279","50.972641755932855,6.850147046666588","WARNING","A1 | Köln-Lövenich - Leverkusen"," Euskirchen -> Dortmund",44,"STATIONARY_TRAFFIC","14.600000381469727",2025-05-21,"Beginn: 21.05.25 um 11:50 Uhr  Angespannte Verkehrslage, seit 21.05.2025, 11:50 A1: Euskirchen -> Dortmund, zwischen 3.9 km hinter AS Köln-Lövenich und 1.7 km vor AK Leverkusen  Im Stillstand Reisezeitverlust: 44 Minuten Durchschnittsgeschwindigkeit: 14 km/h",50.9726417559329,6.85014704666659
"A1","undefined--vi-avl.2025-05-21_13-51-47-000.f_007.de0","50.97277659920201,6.850149242999818,50.97277659920201,6.850149242999818","50.97277659920201,6.850149242999818","WARNING","A1 | Köln-Bocklemünd - Köln-Bocklemünd"," Euskirchen -> Köln",NA,"STATIONARY_TRAFFIC","15",2025-05-21,"Beginn: 21.05.25 um 16:44 Uhr  Angespannte Verkehrslage, seit 21.05.2025, 16:44 A1: Euskirchen -> Köln, 0.6 km vor AS Köln-Bocklemünd, aus Richtung Köln-Lövenich  Im Stillstand Durchschnittsgeschwindigkeit: 15 km/h",50.972776599202,6.85014924299982
"A1","undefined--vi-avl.2025-05-21_15-40-20-000.f_007.de0","50.995493026854845,6.8855435267453,50.92421103211185,6.8441130694660925","50.995493026854845,6.8855435267453","WARNING","A1 | Köln-Nord - Frechen"," Köln -> Euskirchen",10,"QUEUING_TRAFFIC","36.400001525878906",2025-05-21,"Beginn: 21.05.25 um 15:40 Uhr  Angespannte Verkehrslage, seit 21.05.2025, 15:40 A1: Köln -> Euskirchen, zwischen 0.4 km hinter AK Köln-Nord und 0.8 km vor AS Frechen  Stockender Verkehr Reisezeitverlust: 10 Minuten Durchschnittsgeschwindigkeit: 36 km/h",50.9954930268548,6.8855435267453
"A1","undefined--vi-hind.2025-05-21_14-51-03-000.f_004.de0","51.03877420118577,6.997953231695833,51.03795886305813,6.982637719991996","51.03877420118577,6.997953231695833","WARNING","A1 | Leverkusen - Leverkusen-West"," Dortmund -> Köln",NA,NA,NA,2025-05-21,"Beginn: 21.05.25 um 14:51 Uhr  Hindernis, seit 21.05.2025, 14:51 A1: Dortmund -> Köln, zwischen 0.7 km hinter AK Leverkusen und 1.4 km vor AK Leverkusen-West  Gefahr durch eine ungesicherte Unfallstelle",51.0387742011858,6.99795323169583
"A1","undefined--vi-zus.2025-05-21_14-07-48-000.f_003.de0","51.269271761141,7.252564249260049,51.303918474546926,7.263159138676512","51.269271761141,7.252564249260049","WARNING","A1 | Kucksiepen - Wuppertal-Nord"," Köln -> Dortmund",4,"QUEUING_TRAFFIC","35.20000076293945",2025-05-21,"Beginn: 21.05.25 um 14:07 Uhr  Zusammengesetzte Verkehrsinformation, seit 21.05.2025, 14:07 A1: Köln -> Dortmund, zwischen 0.5 km hinter Kucksiepen und 1.3 km vor AK Wuppertal-Nord  Stockender Verkehr Reisezeitverlust: 4 Minuten Durchschnittsgeschwindigkeit: 35 km/h",51.269271761141,7.25256424926005
