"road","identifier","extent","point","display_type","title","subtitle","delay_minutes","abnormalTrafficType","averageSpeed","startTimestamp","description","latitude","longitude"
"A1","undefined--vi-avl.2025-05-23_17-34-50-000.f_011.de0","50.46826175786458,6.695310902052273,50.46826175786458,6.695310902052273","50.46826175786458,6.695310902052273","WARNING","A1 | Blankenheim - Blankenheim"," Euskirchen -> Blankenheim",NA,"STATIONARY_TRAFFIC","7",2025-05-23,"Beginn: 23.05.25 um 18:00 Uhr  Angespannte Verkehrslage, seit 23.05.2025, 18:00 A1: Euskirchen -> Blankenheim, 0.4 km vor AS Blankenheim, aus Richtung Engelgau  Im Stillstand Durchschnittsgeschwindigkeit: 7 km/h",50.4682617578646,6.69531090205227
"A1","undefined--vi-zus.2025-05-23_10-01-39-000.f_003.de0","50.83382100269151,6.792188329604642,50.77607271931971,6.815691480776204","50.83382100269151,6.792188329604642","WARNING","A1 | Hürth - Bliesheim"," Köln -> Euskirchen",7,"QUEUING_TRAFFIC","37.400001525878906",2025-05-23,"Beginn: 23.05.25 um 10:01 Uhr  Zusammengesetzte Verkehrsinformation, seit 23.05.2025, 10:01 A1: Köln -> Euskirchen, zwischen 1.8 km hinter AS Hürth und 0.7 km vor AK Bliesheim  Stockender Verkehr Reisezeitverlust: 7 Minuten Durchschnittsgeschwindigkeit: 37 km/h",50.8338210026915,6.79218832960464
"A1","undefined--vi-avl.2025-05-23_12-17-44-000.f_008.de0","50.98189818889133,6.853776942239127,50.99471841744613,6.883692149846455","50.98189818889133,6.853776942239127","WARNING","A1 | Köln-Bocklemünd - Köln-Nord"," Euskirchen -> Köln",2,"QUEUING_TRAFFIC","36.5",2025-05-23,"Beginn: 23.05.25 um 12:17 Uhr  Angespannte Verkehrslage, seit 23.05.2025, 12:17 A1: Euskirchen -> Köln, zwischen 0.5 km hinter AS Köln-Bocklemünd und 0.6 km vor AK Köln-Nord  Stockender Verkehr Reisezeitverlust: 2 Minuten Durchschnittsgeschwindigkeit: 36 km/h",50.9818981888913,6.85377694223913
"A1","undefined--vi-avl.2025-05-23_12-17-44-000.f_009.de0","51.018639647707396,6.931073189832338,51.03752935887865,6.985478808650202","51.018639647707396,6.931073189832338","WARNING","A1 | Köln-Nord - Leverkusen"," Euskirchen -> Dortmund",7,"QUEUING_TRAFFIC","25.399999618530273",2025-05-23,"Beginn: 23.05.25 um 12:17 Uhr  Angespannte Verkehrslage, seit 23.05.2025, 12:17 A1: Euskirchen -> Dortmund, zwischen 3.7 km hinter AK Köln-Nord und 1.6 km vor AK Leverkusen  Stockender Verkehr Reisezeitverlust: 7 Minuten Durchschnittsgeschwindigkeit: 25 km/h",51.0186396477074,6.93107318983234
"A1","undefined--vi-avl.2025-05-23_13-29-50-000.f_025.de0","51.018639647707396,6.931073189832338,51.018639647707396,6.931073189832338","51.018639647707396,6.931073189832338","WARNING","A1 | Köln-Niehl - Köln-Niehl"," Köln -> Dortmund",NA,"QUEUING_TRAFFIC","22",2025-05-23,"Beginn: 23.05.25 um 18:00 Uhr  Angespannte Verkehrslage, seit 23.05.2025, 18:00 A1: Köln -> Dortmund, 1.0 km vor AS Köln-Niehl, aus Richtung Köln-Nord  Stockender Verkehr Durchschnittsgeschwindigkeit: 22 km/h",51.0186396477074,6.93107318983234
"A1","undefined--vi-avl.2025-05-23_17-00-21-000.f_006.de0","51.34014593084656,7.333928685452493,51.317745300934455,7.279779799998368","51.34014593084656,7.333928685452493","WARNING","A1 | Gevelsberg - Wuppertal-Nord"," Dortmund -> Köln",4,"QUEUING_TRAFFIC","42.599998474121094",2025-05-23,"Beginn: 23.05.25 um 17:00 Uhr  Angespannte Verkehrslage, seit 23.05.2025, 17:00 A1: Dortmund -> Köln, zwischen 0.7 km hinter AS Gevelsberg und 0.7 km vor AK Wuppertal-Nord  Stockender Verkehr Reisezeitverlust: 4 Minuten Durchschnittsgeschwindigkeit: 42 km/h",51.3401459308466,7.33392868545249
"A1","undefined--vi-avl.2025-05-23_18-00-12-000.f_001.de0","51.349437865330636,7.353754913742836,51.349437865330636,7.353754913742836","51.349437865330636,7.353754913742836","WARNING","A1 | Gevelsberg - Gevelsberg"," Dortmund -> Köln",NA,"SLOW_TRAFFIC","29",2025-05-23,"Beginn: 23.05.25 um 18:00 Uhr  Angespannte Verkehrslage, seit 23.05.2025, 18:00 A1: Dortmund -> Köln, 1.0 km vor AS Gevelsberg, aus Richtung Volmarstein  Langsamer Verkehr Durchschnittsgeschwindigkeit: 29 km/h",51.3494378653306,7.35375491374284
"A1","undefined--vi-avl.2025-05-23_17-00-21-000.f_007.de0","51.34940747942366,7.353604634030444,51.34149320753438,7.336594680550646","51.34940747942366,7.353604634030444","WARNING","A1 | Volmarstein - Klosterholz"," Dortmund -> Köln",1,"SLOW_TRAFFIC","48",2025-05-23,"Beginn: 23.05.25 um 17:00 Uhr  Angespannte Verkehrslage, seit 23.05.2025, 17:00 A1: Dortmund -> Köln, zwischen 2.6 km hinter AS Volmarstein und 2.1 km vor Klosterholz  Langsamer Verkehr Reisezeitverlust: 1 Minuten Durchschnittsgeschwindigkeit: 48 km/h",51.3494074794237,7.35360463403044
"A1","undefined--vi-zus.2025-05-23_13-39-44-000.f_002.de0","51.42841563980475,7.528876997237794,51.43570483148758,7.533556604696914","51.42841563980475,7.528876997237794","WARNING","A1 | Lennhof - Schwerte"," Köln -> Dortmund",0,"SLOW_TRAFFIC","47.5",2025-05-23,"Beginn: 23.05.25 um 13:39 Uhr  Zusammengesetzte Verkehrsinformation, seit 23.05.2025, 13:39 A1: Köln -> Dortmund, zwischen 2.7 km hinter Lennhof und 3.2 km vor AS Schwerte  Langsamer Verkehr Reisezeitverlust: 0 Minuten Durchschnittsgeschwindigkeit: 47 km/h",51.4284156398047,7.52887699723779
"A1","undefined--vi-hind.2025-05-23_17-58-12-000.f_001.de0","51.88722734868123,7.574770568101132,51.909576400930895,7.5635603999991","51.88722734868123,7.574770568101132","WARNING","A1 | Münster-Hiltrup - Münster-Süd"," Dortmund -> Münster",NA,NA,NA,2025-05-23,"Beginn: 23.05.25 um 17:58 Uhr  Hindernis, seit 23.05.2025, 17:58 A1: Dortmund -> Münster, zwischen AS Münster-Hiltrup und 0.7 km vor AK Münster-Süd  Gefahr durch Gegenstände auf der Fahrbahn",51.8872273486812,7.57477056810113
"A1","undefined--vi-avl.2025-05-23_10-57-10-000.f_003.de0","53.043111336172316,8.987566211598441,53.043111336172316,8.987566211598441","53.043111336172316,8.987566211598441","WARNING","A1 | Bremer Kreuz - Bremer Kreuz"," Hamburg -> Bremen",NA,"STATIONARY_TRAFFIC","13",2025-05-23,"Beginn: 23.05.25 um 18:00 Uhr  Angespannte Verkehrslage, seit 23.05.2025, 18:00 A1: Hamburg -> Bremen, 0.3 km vor AK Bremer Kreuz, aus Richtung Thünen Nord  Im Stillstand Durchschnittsgeschwindigkeit: 13 km/h",53.0431113361723,8.98756621159844
"A1","undefined--vi-avl.2025-05-23_05-51-00-000.f_006.de0","53.04318729796232,8.987768864536823,53.03184767902425,8.865127051627695","53.04318729796232,8.987768864536823","WARNING","A1 | Thünen Nord - Bremen-Arsten"," Hamburg -> Osnabrück",36,"STATIONARY_TRAFFIC","13.399999618530273",2025-05-23,"Beginn: 23.05.25 um 05:51 Uhr  Angespannte Verkehrslage, seit 23.05.2025, 05:51 A1: Hamburg -> Osnabrück, zwischen 2.1 km hinter Thünen Nord und 0.5 km vor AS Bremen-Arsten  Im Stillstand Reisezeitverlust: 36 Minuten Durchschnittsgeschwindigkeit: 13 km/h",53.0431872979623,8.98776886453682
"A1","undefined--vi-avl.2025-05-23_18-00-12-000.f_003.de0","53.39851226925396,10.026078954729583,53.39851226925396,10.026078954729583","53.39851226925396,10.026078954729583","WARNING","A1 | Hamburg-Harburg - Hamburg-Harburg"," Bremen -> Hamburg",NA,"QUEUING_TRAFFIC","29",2025-05-23,"Beginn: 23.05.25 um 18:00 Uhr  Angespannte Verkehrslage, seit 23.05.2025, 18:00 A1: Bremen -> Hamburg, 7.7 km vor AS Hamburg-Harburg, aus Richtung Maschener Kreuz  Stockender Verkehr Durchschnittsgeschwindigkeit: 29 km/h",53.398512269254,10.0260789547296
"A1","undefined--vi-avl.2025-05-23_16-39-47-000.f_020.de0","53.541838363968786,10.145911581595035,53.541838363968786,10.145911581595035","53.541838363968786,10.145911581595035","WARNING","A1 | Hamburg-Billstedt - Hamburg-Billstedt"," Lübeck -> Hamburg",NA,"STATIONARY_TRAFFIC","11",2025-05-23,"Beginn: 23.05.25 um 18:00 Uhr  Angespannte Verkehrslage, seit 23.05.2025, 18:00 A1: Lübeck -> Hamburg, 1.9 km vor AS Hamburg-Billstedt, aus Richtung Hamburg-Öjendorf  Im Stillstand Durchschnittsgeschwindigkeit: 11 km/h",53.5418383639688,10.145911581595
"A1","undefined--vi-avl.2025-05-23_15-49-02-000.f_015.de0","53.5417535352338,10.1458617598594,53.51196951274301,10.104130119996036","53.5417535352338,10.1458617598594","WARNING","A1 | Hamburg-Öjendorf - Tunnel Moorfleet"," Lübeck -> Hamburg",22,"STATIONARY_TRAFFIC","10.800000190734863",2025-05-23,"Beginn: 23.05.25 um 15:49 Uhr  Angespannte Verkehrslage, seit 23.05.2025, 15:49 A1: Lübeck -> Hamburg, zwischen 0.3 km hinter AS Hamburg-Öjendorf und 0.1 km vor Tunnel Moorfleet  Im Stillstand Reisezeitverlust: 22 Minuten Durchschnittsgeschwindigkeit: 10 km/h",53.5417535352338,10.1458617598594
"A1","undefined--vi-hind.2025-05-23_17-37-50-000.f_001.de0","53.54720767059722,10.148333840531679,53.546132197473305,10.147910305063268","53.54720767059722,10.148333840531679","WARNING","A1 | Hamburg-Ost - Hamburg-Öjendorf"," Lübeck -> Hamburg",NA,NA,NA,2025-05-23,"Beginn: 23.05.25 um 17:37 Uhr  Fahrzeug-Hindernis, seit 23.05.2025, 17:37 A1: Lübeck -> Hamburg, zwischen 1.8 km hinter AK Hamburg-Ost und 0.2 km vor AS Hamburg-Öjendorf Gefahr durch ein defektes Fahrzeug auf der Fahrbahn",53.5472076705972,10.1483338405317
"A1","undefined--vi-zus.2025-05-23_09-34-10-000.f_002.de0","53.68909282875635,10.31944737441181,53.715694659082736,10.336304425153996","53.68909282875635,10.31944737441181","WARNING","A1 | Ahrensburg - Bargteheide"," Hamburg -> Lübeck",4,"QUEUING_TRAFFIC","29.600000381469727",2025-05-23,"Beginn: 23.05.25 um 09:34 Uhr  Zusammengesetzte Verkehrsinformation, seit 23.05.2025, 09:34 A1: Hamburg -> Lübeck, zwischen 6.1 km hinter AS Ahrensburg und 0.3 km vor AS Bargteheide  Stockender Verkehr Reisezeitverlust: 4 Minuten Durchschnittsgeschwindigkeit: 29 km/h",53.6890928287564,10.3194473744118
"A1","undefined--vi-avl.2025-05-23_15-04-56-000.f_011.de0","53.68910941644838,10.319459040814976,53.68910941644838,10.319459040814976","53.68910941644838,10.319459040814976","WARNING","A1 | Buddikate - Buddikate"," Hamburg -> Lübeck",NA,"QUEUING_TRAFFIC","27",2025-05-23,"Beginn: 23.05.25 um 18:00 Uhr  Angespannte Verkehrslage, seit 23.05.2025, 18:00 A1: Hamburg -> Lübeck, 0.5 km vor Buddikate, aus Richtung Ahrensburg  Stockender Verkehr Durchschnittsgeschwindigkeit: 27 km/h",53.6891094164484,10.319459040815
