"road","identifier","extent","point","display_type","title","subtitle","delay_minutes","abnormalTrafficType","averageSpeed","startTimestamp","description","latitude","longitude"
"A1","undefined--vi-hind.2025-05-19_19-54-00-000.f_008.de0","50.67331588614863,6.735201692610461,50.65047740093807,6.722068199994528","50.67331588614863,6.735201692610461","WARNING","A1 | Euskirchen - Wißkirchen"," Köln -> Blankenheim",NA,NA,NA,2025-05-19,"Beginn: 19.05.25 um 19:54 Uhr  Fahrzeug-Hindernis, seit 19.05.2025, 19:54 A1: Köln -> Blankenheim, zwischen 0.7 km hinter AS Euskirchen und 0.3 km vor AS Wißkirchen",50.6733158861486,6.73520169261046
"A1","undefined--vi-avl.2025-05-19_19-31-30-000.f_005.de0","53.023687020143136,8.821144372884312,53.026565426633645,8.853023177618908","53.023687020143136,8.821144372884312","WARNING","A1 | Bremen/Brinkum - Bremen-Arsten"," Osnabrück -> Bremen",3,"STATIONARY_TRAFFIC","29.600000381469727",2025-05-19,"Beginn: 19.05.25 um 19:31 Uhr  Angespannte Verkehrslage, seit 19.05.2025, 19:31 A1: Osnabrück -> Bremen, zwischen 1.3 km hinter AS Bremen/Brinkum und 0.5 km vor AS Bremen-Arsten  Im Stillstand Reisezeitverlust: 3 Minuten Durchschnittsgeschwindigkeit: 29 km/h",53.0236870201431,8.82114437288431
"A1","undefined--vi-hind.2025-05-19_21-12-30-000.f_006.de0","53.05274365572235,9.035136183823615,53.05267280598747,9.03299106830943","53.05274365572235,9.035136183823615","WARNING","A1 | Tuchten - Oyten"," Hamburg -> Bremen",NA,NA,NA,2025-05-19,"Beginn: 19.05.25 um 21:12 Uhr  Hindernis, seit 19.05.2025, 21:12 A1: Hamburg -> Bremen, zwischen 6.4 km hinter Tuchten und 0.2 km vor AS Oyten  Gefahr durch Gegenstände auf der Fahrbahn",53.0527436557224,9.03513618382362
"A1","undefined--vi-hind.2025-05-19_22-14-00-000.f_001.de0","53.50950530091939,10.047760500000521,53.50833017965826,10.09180543716747","53.50950530091939,10.047760500000521","WARNING","A1 | Hamburg-Norderelbe - Tunnel Moorfleet"," Hamburg -> Lübeck",NA,NA,NA,2025-05-19,"Beginn: 19.05.25 um 22:14 Uhr  Hindernis, seit 19.05.2025, 22:14 A1: Hamburg -> Lübeck, zwischen 0.6 km hinter AK Hamburg-Norderelbe und 0.8 km vor Tunnel Moorfleet  Gefahr durch eine ungesicherte Unfallstelle",53.5095053009194,10.0477605000005
"A2","undefined--vi-avl.2025-05-19_20-00-00-000.f.de0","51.5386298801034,6.843310174342619,51.5389081497909,6.866825447097448","51.5386298801034,6.843310174342619","WARNING","A2 | Oberhausen - Oberhausen-Königshardt"," Oberhausen -> Dortmund",2,"QUEUING_TRAFFIC","29.299999237060547",2025-05-19,"Beginn: 19.05.25 um 20:00 Uhr  Angespannte Verkehrslage, seit 19.05.2025, 20:00 A2: Oberhausen -> Dortmund, zwischen 0.6 km hinter AK Oberhausen und 0.2 km vor AS Oberhausen-Königshardt  Stockender Verkehr Reisezeitverlust: 2 Minuten Durchschnittsgeschwindigkeit: 29 km/h",51.5386298801034,6.84331017434262
"A2","undefined--vi-avl.2025-05-19_20-00-30-000.f_003.de0","51.5386298801034,6.843310174342619,51.5386298801034,6.843310174342619","51.5386298801034,6.843310174342619","WARNING","A2 | Oberhausen-Königshardt - Oberhausen-Königshardt"," Oberhausen -> Dortmund",NA,"QUEUING_TRAFFIC","14",2025-05-19,"Beginn: 19.05.25 um 22:22 Uhr  Angespannte Verkehrslage, seit 19.05.2025, 22:22 A2: Oberhausen -> Dortmund, 1.8 km vor AS Oberhausen-Königshardt, aus Richtung Oberhausen  Stockender Verkehr Durchschnittsgeschwindigkeit: 14 km/h",51.5386298801034,6.84331017434262
"A3","undefined--vi-avl.2025-05-19_20-36-00-000.f_002.de0","48.5299920664242,13.39984396279744,48.54710455482725,13.397367013243365","48.5299920664242,13.39984396279744","WARNING","A3 | Rottal-Ost - Hammerbach"," Linz -> Nürnberg",2,"QUEUING_TRAFFIC","40",2025-05-19,"Beginn: 19.05.25 um 20:36 Uhr  Angespannte Verkehrslage, seit 19.05.2025, 20:36 A3: Linz -> Nürnberg, zwischen 8.3 km hinter Rottal-Ost und 1.6 km vor Hammerbach  Stockender Verkehr Reisezeitverlust: 2 Minuten Durchschnittsgeschwindigkeit: 40 km/h",48.5299920664242,13.3998439627974
"A3","undefined--vi-avl.2025-05-19_21-33-00-000.f.de0","48.78182272880733,13.022059213967646,48.789170809583446,13.008432292337677","48.78182272880733,13.022059213967646","WARNING","A3 | Hengersberg - Isarblick"," Passau -> Nürnberg",0,"SLOW_TRAFFIC","66.80000305175781",2025-05-19,"Beginn: 19.05.25 um 21:33 Uhr  Angespannte Verkehrslage, seit 19.05.2025, 21:33 A3: Passau -> Nürnberg, zwischen 1.9 km hinter AS Hengersberg und 2.8 km vor Isarblick  Langsamer Verkehr Reisezeitverlust: 0 Minuten Durchschnittsgeschwindigkeit: 66 km/h",48.7818227288073,13.0220592139676
"A3","undefined--vi-hind.2025-05-19_21-41-00-000.f_002.de0","49.78133200094207,10.214134600000515,49.775000168533836,10.341546909847363","49.78133200094207,10.214134600000515","WARNING","A3 | Kitzingen/Schwarzach - Wiesentheid"," Würzburg -> Nürnberg",NA,NA,NA,2025-05-19,"Beginn: 19.05.25 um 21:41 Uhr  Fahrzeug-Hindernis, seit 19.05.2025, 21:41 A3: Würzburg -> Nürnberg, zwischen 0.4 km hinter AS Kitzingen/Schwarzach und 0.3 km vor AS Wiesentheid",49.7813320009421,10.2141346000005
"A4","undefined--vi-avl.2025-05-19_22-21-30-000.f_004.de0","50.89752900093681,6.91128359999635,50.891577403529574,6.924388395869735","50.89752900093681,6.91128359999635","WARNING","A4 | Köln-Klettenberg - Köln-Eifeltor"," Heerlen/Aachen -> Köln",0,"SLOW_TRAFFIC","59.79999923706055",2025-05-19,"Beginn: 19.05.25 um 22:21 Uhr  Angespannte Verkehrslage, seit 19.05.2025, 22:21 A4: Heerlen/Aachen -> Köln, zwischen 0.2 km hinter AS Köln-Klettenberg und 0.1 km vor AS Köln-Eifeltor  Langsamer Verkehr Reisezeitverlust: 0 Minuten Durchschnittsgeschwindigkeit: 59 km/h",50.8975290009368,6.91128359999635
