"road","identifier","extent","point","display_type","title","subtitle","delay_minutes","abnormalTrafficType","averageSpeed","startTimestamp","description","latitude","longitude"
"A1","undefined--vi-zus.2025-06-04_08-56-17-000.f.de0","51.54294587893463,7.66258452483749,51.536629000132606,7.661211232630751","51.54294587893463,7.66258452483749","WARNING","A1 | Kamen-Zentrum - Unna"," Münster -> Dortmund",NA,NA,NA,"2025-06-04T08:56:17+02:00","Beginn: 04.06.25 um 08:56 Uhr  Zusammengesetzte Verkehrsinformation, seit 04.06.2025, 08:56 A1: Münster -> Dortmund, zwischen 3.7 km hinter AS Kamen-Zentrum und 1.1 km vor AS Unna  A1 Münster Richtung Dortmund zwischen Kamen-Zentrum und Unna Baustelle, 1 rechter Fahrstreifen gesperrt, Fahrbahn auf zwei Fahrstreifen verengt, von 04.06.2025 20:00 Uhr bis 05.06.2025 05:00 Uhr",51.5429458789346,7.66258452483749
"A1","undefined--vi-zus.2025-06-04_20-09-00-000.f.de0","53.020565237108414,8.783060828791152,53.02322719888796,8.802792264079898","53.020565237108414,8.783060828791152","WARNING","A1 | Stuhr - Krummhörens Kuhlen"," Osnabrück -> Bremen",5,"STATIONARY_TRAFFIC","13.600000381469727","2025-06-04T20:09:00+02:00","Beginn: 04.06.25 um 20:09 Uhr  Zusammengesetzte Verkehrsinformation, seit 04.06.2025, 20:09 A1: Osnabrück -> Bremen, zwischen 5.7 km hinter AD Stuhr und 1.5 km vor Krummhörens Kuhlen  Im Stillstand Reisezeitverlust: 5 Minuten Durchschnittsgeschwindigkeit: 13 km/h",53.0205652371084,8.78306082879115
"A1","undefined--vi-avl.2025-06-04_20-11-30-000.f_001.de0","53.02062856646188,8.78338722947284,53.02062856646188,8.78338722947284","53.02062856646188,8.78338722947284","WARNING","A1 | Bremen/Brinkum - Bremen/Brinkum"," Osnabrück -> Bremen",NA,"STATIONARY_TRAFFIC","14","2025-06-04T20:21:30+02:00","Beginn: 04.06.25 um 20:21 Uhr  Angespannte Verkehrslage, seit 04.06.2025, 20:21 A1: Osnabrück -> Bremen, 1.3 km vor AS Bremen/Brinkum, aus Richtung Stuhr  Im Stillstand Durchschnittsgeschwindigkeit: 14 km/h",53.0206285664619,8.78338722947284
"A1","undefined--vi-unf.2025-06-04_20-08-00-000.f.de0","53.023453100923184,8.806488699999926,53.02616461143404,8.851937018033315","53.023453100923184,8.806488699999926","WARNING","A1 | Bremen/Brinkum - Bremen-Arsten"," Osnabrück -> Bremen",NA,NA,NA,"2025-06-04T20:08:00+02:00","Beginn: 04.06.25 um 20:08 Uhr  Unfall, seit 04.06.2025, 20:08 A1: Osnabrück -> Bremen, zwischen 0.3 km hinter AS Bremen/Brinkum und 0.6 km vor AS Bremen-Arsten",53.0234531009232,8.80648869999993
"A1","undefined--vi-unf.2025-06-04_20-08-00-000.f_003.de0","53.02325783024563,8.803251854122244,53.03191160595456,8.865654305998177","53.02325783024563,8.803251854122244","WARNING","A1 | Bremen/Brinkum - Bremen-Hemelingen"," Osnabrück -> Bremen",NA,NA,NA,"2025-06-04T20:08:00+02:00","Beginn: 04.06.25 um 20:08 Uhr  Unfall, seit 04.06.2025, 20:08 A1: Osnabrück -> Bremen, zwischen AS Bremen/Brinkum und 1.6 km vor AS Bremen-Hemelingen",53.0232578302456,8.80325185412224
"A1","undefined--vi-hind.2025-06-04_20-15-33-000.f_001.de0","53.02296588232167,8.79810211233876,53.00633750603222,8.709584195558865","53.02296588232167,8.79810211233876","WARNING","A1 | Bremen/Brinkum - Stuhr"," Bremen -> Osnabrück",NA,NA,NA,"2025-06-04T20:15:33+02:00","Beginn: 04.06.25 um 20:15 Uhr  Hindernis, seit 04.06.2025, 20:15 A1: Bremen -> Osnabrück, zwischen 0.3 km hinter AS Bremen/Brinkum und 0.5 km vor AD Stuhr  Gefahr durch Gegenstände auf der Fahrbahn",53.0229658823217,8.79810211233876
"A1","undefined--vi-zus.2023-08-06_16-00-00-000.f_004.de0","53.0345216898969,8.918324474526163,53.03003632102865,8.860844706711447","53.0345216898969,8.918324474526163","WARNING","A1 | Mahndorfer Marsch - Bremen-Arsten"," Bremen -> Osnabrück",NA,NA,NA,"2023-08-06T16:00:00+02:00","Beginn: 06.08.23 um 16:00 Uhr  Zusammengesetzte Verkehrsinformation, seit 06.08.2023, 16:00 A1: Bremen -> Osnabrück, zwischen 2.0 km hinter Mahndorfer Marsch und 0.2 km vor AS Bremen-Arsten  A1 Bremen Richtung Osnabrück
in Höhe Bremen-Arsten
Bauarbeiten, eine Umleitung ist eingerichtet, Fahrbahn auf zwei Fahrstreifen verengt, von 03.06.2025 19:00 Uhr bis 07.06.2025 06:00 Uhr",53.0345216898969,8.91832447452616
"A2","undefined--vi-hind.2025-06-04_14-04-10-000.f_013.de0","51.567670495722055,7.085847732400443,51.57219750093299,7.128277099997771","51.567670495722055,7.085847732400443","WARNING","A2 | Erle - Herten"," Oberhausen -> Dortmund",NA,NA,NA,"2025-06-04T14:04:10+02:00","Beginn: 04.06.25 um 14:04 Uhr  Hindernis, seit 04.06.2025, 14:04 A2: Oberhausen -> Dortmund, zwischen 0.2 km hinter Erle und 0.5 km vor AS Herten  Gefahr durch Gegenstände auf der Fahrbahn",51.5676704957221,7.08584773240044
"A2","undefined--vi-avl.2025-06-04_19-39-30-000.f.de0","52.27489981872105,9.334044988451794,52.27489981872105,9.334044988451794","52.27489981872105,9.334044988451794","WARNING","A2 | Schafstrift Nord - Schafstrift Nord"," Hannover -> Dortmund",NA,"STATIONARY_TRAFFIC","18","2025-06-04T20:21:30+02:00","Beginn: 04.06.25 um 20:21 Uhr  Angespannte Verkehrslage, seit 04.06.2025, 20:21 A2: Hannover -> Dortmund, 2.5 km vor Schafstrift Nord, aus Richtung Lauenau  Im Stillstand Durchschnittsgeschwindigkeit: 18 km/h",52.2748998187211,9.33404498845179
"A2","undefined--vi-avl.2025-06-04_19-19-39-000.f.de0","52.27497065086406,9.334196544399163,52.25096963995079,9.294584854624992","52.27497065086406,9.334196544399163","WARNING","A2 | Lauenau - Rehren"," Hannover -> Dortmund",11,"STATIONARY_TRAFFIC","17.700000762939453","2025-06-04T19:19:39+02:00","Beginn: 04.06.25 um 19:19 Uhr  Angespannte Verkehrslage, seit 04.06.2025, 19:19 A2: Hannover -> Dortmund, zwischen 1.3 km hinter AS Lauenau und 4.1 km vor AS Rehren  Im Stillstand Reisezeitverlust: 11 Minuten Durchschnittsgeschwindigkeit: 17 km/h",52.2749706508641,9.33419654439916
