"road","identifier","extent","point","display_type","title","subtitle","delay_minutes","abnormalTrafficType","averageSpeed","startTimestamp","description","latitude","longitude"
"A1","undefined--vi-hind.2025-05-19_19-54-00-000.f_010.de0","50.67331588614863,6.735201692610461,50.65047740093807,6.722068199994528","50.67331588614863,6.735201692610461","WARNING","A1 | Euskirchen - Wißkirchen"," Köln -> Blankenheim",NA,NA,NA,2025-05-19,"Beginn: 19.05.25 um 19:54 Uhr  Fahrzeug-Hindernis, seit 19.05.2025, 19:54 A1: Köln -> Blankenheim, zwischen 0.7 km hinter AS Euskirchen und 0.3 km vor AS Wißkirchen",50.6733158861486,6.73520169261046
"A1","undefined--vi-hind.2025-05-19_23-06-00-000.f_001.de0","53.50929678257153,10.057088901590378,53.50929678257153,10.057088901590378","53.50929678257153,10.057088901590378","WARNING","A1 | Hamburg-Norderelbe - Hamburg-Südost"," Hamburg -> Lübeck",NA,NA,NA,2025-05-19,"Beginn: 19.05.25 um 23:06 Uhr  Fahrzeug-Hindernis, seit 19.05.2025, 23:06 A1: Hamburg -> Lübeck, zwischen 1.2 km hinter AK Hamburg-Norderelbe und 1.2 km vor AD Hamburg-Südost",53.5092967825715,10.0570889015904
"A1","undefined--vi-hind.2025-05-19_23-06-00-000.f.de0","53.509302500919404,10.063278300000514,53.5094444127468,10.056993241326454","53.509302500919404,10.063278300000514","WARNING","A1 | Hamburg-Südost - Hamburg-Norderelbe"," Lübeck -> Hamburg",NA,NA,NA,2025-05-19,"Beginn: 19.05.25 um 23:06 Uhr  Fahrzeug-Hindernis, seit 19.05.2025, 23:06 A1: Lübeck -> Hamburg, zwischen 1.2 km hinter AD Hamburg-Südost und 1.4 km vor AK Hamburg-Norderelbe",53.5093025009194,10.0632783000005
"A2","undefined--vi-avl.2025-05-19_20-00-00-000.f.de0","51.53869481484204,6.845768133146158,51.5389081497909,6.866825447097448","51.53869481484204,6.845768133146158","WARNING","A2 | Oberhausen - Oberhausen-Königshardt"," Oberhausen -> Dortmund",3,"STATIONARY_TRAFFIC","22.299999237060547",2025-05-19,"Beginn: 19.05.25 um 20:00 Uhr  Angespannte Verkehrslage, seit 19.05.2025, 20:00 A2: Oberhausen -> Dortmund, zwischen 0.8 km hinter AK Oberhausen und 0.2 km vor AS Oberhausen-Königshardt  Im Stillstand Reisezeitverlust: 3 Minuten Durchschnittsgeschwindigkeit: 22 km/h",51.538694814842,6.84576813314616
"A2","undefined--vi-avl.2025-05-19_20-00-30-000.f_003.de0","51.53869481484204,6.845768133146158,51.53869481484204,6.845768133146158","51.53869481484204,6.845768133146158","WARNING","A2 | Oberhausen-Königshardt - Oberhausen-Königshardt"," Oberhausen -> Dortmund",NA,"STATIONARY_TRAFFIC","8",2025-05-19,"Beginn: 19.05.25 um 23:20 Uhr  Angespannte Verkehrslage, seit 19.05.2025, 23:20 A2: Oberhausen -> Dortmund, 1.7 km vor AS Oberhausen-Königshardt, aus Richtung Oberhausen  Im Stillstand Durchschnittsgeschwindigkeit: 8 km/h",51.538694814842,6.84576813314616
"A2","undefined--vi-avl.2025-05-19_23-19-30-000.f.de0","51.54296924641284,6.89899035018529,51.53900321515326,6.862332667650903","51.54296924641284,6.89899035018529","WARNING","A2 | Bottrop - Oberhausen"," Dortmund -> Oberhausen",1,"SLOW_TRAFFIC","50",2025-05-19,"Beginn: 19.05.25 um 23:19 Uhr  Angespannte Verkehrslage, seit 19.05.2025, 23:19 A2: Dortmund -> Oberhausen, zwischen 1.5 km hinter AS Bottrop und 2.0 km vor AK Oberhausen  Langsamer Verkehr Reisezeitverlust: 1 Minuten Durchschnittsgeschwindigkeit: 50 km/h",51.5429692464128,6.89899035018529
"A2","undefined--vi-hind.2025-05-19_23-17-00-000.f_001.de0","52.42331964772052,9.580014273858453,52.42087406876456,9.623341106648452","52.42331964772052,9.580014273858453","WARNING","A2 | Garbsen - Hannover-Herrenhausen"," Dortmund -> Hannover",NA,NA,NA,2025-05-19,"Beginn: 19.05.25 um 23:17 Uhr  Hindernis, seit 19.05.2025, 23:17 A2: Dortmund -> Hannover, zwischen 0.4 km hinter AS Garbsen und 0.5 km vor AS Hannover-Herrenhausen  Gefahr durch eine ungesicherte Unfallstelle",52.4233196477205,9.58001427385845
"A2","undefined--vi-avl.2025-05-19_23-03-30-000.f_001.de0","52.20336680870854,11.18486989068338,52.20143559363929,11.211750956909892","52.20336680870854,11.18486989068338","WARNING","A2 | Alleringersleben - Lorkberg"," Braunschweig -> Magdeburg",1,"SLOW_TRAFFIC","42.5",2025-05-19,"Beginn: 19.05.25 um 23:03 Uhr  Angespannte Verkehrslage, seit 19.05.2025, 23:03 A2: Braunschweig -> Magdeburg, zwischen 3.6 km hinter AS Alleringersleben und 2.4 km vor Lorkberg  Langsamer Verkehr Reisezeitverlust: 1 Minuten Durchschnittsgeschwindigkeit: 42 km/h",52.2033668087085,11.1848698906834
"A2","undefined--vi-hind.2025-05-19_22-57-00-000.f.de0","52.30244658734402,12.473436742329664,52.29178240092885,12.461111900034005","52.30244658734402,12.473436742329664","WARNING","A2 | Wendgräben - Wollin"," Berliner Ring -> Magdeburg",NA,NA,NA,2025-05-19,"Beginn: 19.05.25 um 22:57 Uhr  Fahrzeug-Hindernis, seit 19.05.2025, 22:57 A2: Berliner Ring -> Magdeburg, zwischen 5.3 km hinter Wendgräben und AS Wollin Gefahr durch ein defektes Fahrzeug auf der Fahrbahn",52.302446587344,12.4734367423297
"A3","undefined--vi-avl.2025-05-19_20-36-00-000.f_002.de0","48.5299920664242,13.39984396279744,48.54710455482725,13.397367013243365","48.5299920664242,13.39984396279744","WARNING","A3 | Rottal-Ost - Hammerbach"," Linz -> Nürnberg",0,"SLOW_TRAFFIC","66.5",2025-05-19,"Beginn: 19.05.25 um 20:36 Uhr  Angespannte Verkehrslage, seit 19.05.2025, 20:36 A3: Linz -> Nürnberg, zwischen 8.3 km hinter Rottal-Ost und 1.6 km vor Hammerbach  Langsamer Verkehr Reisezeitverlust: 0 Minuten Durchschnittsgeschwindigkeit: 66 km/h",48.5299920664242,13.3998439627974
