"road","identifier","extent","point","display_type","title","subtitle","delay_minutes","abnormalTrafficType","averageSpeed","startTimestamp","description","latitude","longitude"
"A1","undefined--vi-avl.2025-06-03_12-53-58-000.f_001.de0","50.950104270279326,6.8496259453824555,50.89447179173703,6.826680617711929","50.950104270279326,6.8496259453824555","WARNING","A1 | Köln-Bocklemünd - Gleuel"," Köln -> Euskirchen",4,"SLOW_TRAFFIC","48.5","2025-06-03T12:53:58+02:00","Beginn: 03.06.25 um 12:53 Uhr  Angespannte Verkehrslage, seit 03.06.2025, 12:53 A1: Köln -> Euskirchen, zwischen 3.1 km hinter AS Köln-Bocklemünd und 1.0 km vor AS Gleuel  Langsamer Verkehr Reisezeitverlust: 4 Minuten Durchschnittsgeschwindigkeit: 48 km/h",50.9501042702793,6.84962594538246
"A1","undefined--vi-zus.2025-06-03_12-12-42-000.f_002.de0","51.016908692786814,6.926690191854416,51.03744273585875,6.987579962706043","51.016908692786814,6.926690191854416","WARNING","A1 | Köln-Nord - Leverkusen"," Euskirchen -> Dortmund",4,"SLOW_TRAFFIC","39.29999923706055","2025-06-03T12:12:42+02:00","Beginn: 03.06.25 um 12:12 Uhr  Zusammengesetzte Verkehrsinformation, seit 03.06.2025, 12:12 A1: Euskirchen -> Dortmund, zwischen 3.4 km hinter AK Köln-Nord und 1.5 km vor AK Leverkusen  Langsamer Verkehr Reisezeitverlust: 4 Minuten Durchschnittsgeschwindigkeit: 39 km/h  Gefahr durch eine ungesicherte Unfallstelle",51.0169086927868,6.92669019185442
"A1","undefined--vi-avl.2025-06-03_13-22-02-000.f_011.de0","51.01772145420475,6.928116491149038,51.01772145420475,6.928116491149038","51.01772145420475,6.928116491149038","WARNING","A1 | Köln-Nord - Köln-Nord"," Köln -> Euskirchen",NA,"QUEUING_TRAFFIC","27","2025-06-03T13:22:02+02:00","Beginn: 03.06.25 um 13:22 Uhr  Angespannte Verkehrslage, seit 03.06.2025, 13:22 A1: Köln -> Euskirchen, 3.5 km vor AK Köln-Nord, aus Richtung Köln-Niehl  Stockender Verkehr Durchschnittsgeschwindigkeit: 27 km/h",51.0177214542047,6.92811649114904
"A1","undefined--vi-avl.2025-06-03_08-33-07-000.f_005.de0","51.01772145420475,6.928116491149038,51.00107540093625,6.900535999996291","51.01772145420475,6.928116491149038","WARNING","A1 | Köln-Niehl - Köln-Nord"," Dortmund -> Euskirchen",3,"QUEUING_TRAFFIC","30.600000381469727","2025-06-03T08:33:07+02:00","Beginn: 03.06.25 um 08:33 Uhr  Angespannte Verkehrslage, seit 03.06.2025, 08:33 A1: Dortmund -> Euskirchen, zwischen 1.2 km hinter AS Köln-Niehl und 0.8 km vor AK Köln-Nord  Stockender Verkehr Reisezeitverlust: 3 Minuten Durchschnittsgeschwindigkeit: 30 km/h",51.0177214542047,6.92811649114904
"A1","undefined--vi-avl.2025-06-03_13-22-02-000.f_004.de0","51.016908692786814,6.926690191854416,51.016908692786814,6.926690191854416","51.016908692786814,6.926690191854416","WARNING","A1 | Köln-Niehl - Köln-Niehl"," Köln -> Dortmund",NA,"SLOW_TRAFFIC","27","2025-06-03T13:22:02+02:00","Beginn: 03.06.25 um 13:22 Uhr  Angespannte Verkehrslage, seit 03.06.2025, 13:22 A1: Köln -> Dortmund, 1.4 km vor AS Köln-Niehl, aus Richtung Köln-Nord  Langsamer Verkehr Durchschnittsgeschwindigkeit: 27 km/h",51.0169086927868,6.92669019185442
"A1","undefined--vi-hind.2025-06-03_13-14-08-000.f_002.de0","51.02785984996379,6.948760297580475,51.02724530000737,6.947827831470089","51.02785984996379,6.948760297580475","WARNING","A1 | Leverkusener Brücke - Köln-Niehl"," Dortmund -> Köln",NA,NA,NA,"2025-06-03T13:14:08+02:00","Beginn: 03.06.25 um 13:14 Uhr  Hindernis, seit 03.06.2025, 13:14 A1: Dortmund -> Köln, zwischen 1.1 km hinter Leverkusener Brücke und 0.5 km vor AS Köln-Niehl  Gefahr durch Personen auf der Fahrbahn",51.0278598499638,6.94876029758047
"A1","undefined--vi-hind.2025-06-03_12-31-15-000.f_001.de0","51.038205418473616,6.980055793844579,51.038243941929494,6.996322591278786","51.038205418473616,6.980055793844579","WARNING","A1 | Leverkusen-West - Leverkusen"," Köln -> Dortmund",NA,NA,NA,"2025-06-03T12:31:15+02:00","Beginn: 03.06.25 um 12:31 Uhr  Hindernis, seit 03.06.2025, 12:31 A1: Köln -> Dortmund, zwischen 1.2 km hinter AK Leverkusen-West und 0.9 km vor AK Leverkusen  Gefahr durch eine ungesicherte Unfallstelle",51.0382054184736,6.98005579384458
"A1","undefined--vi-avl.2025-06-03_13-11-40-000.f_001.de0","51.490210781012586,7.629062133831587,51.53861502937937,7.661907749782066","51.490210781012586,7.629062133831587","WARNING","A1 | Lichtendorf - Kamen-Zentrum"," Köln -> Münster",4,"SLOW_TRAFFIC","44.400001525878906","2025-06-03T13:11:40+02:00","Beginn: 03.06.25 um 13:11 Uhr  Angespannte Verkehrslage, seit 03.06.2025, 13:11 A1: Köln -> Münster, zwischen 3.4 km hinter Lichtendorf und 4.2 km vor AS Kamen-Zentrum  Langsamer Verkehr Reisezeitverlust: 4 Minuten Durchschnittsgeschwindigkeit: 44 km/h",51.4902107810126,7.62906213383159
"A1","undefined--vi-avl.2025-06-03_13-22-02-000.f_010.de0","51.490210781012586,7.629062133831587,51.490210781012586,7.629062133831587","51.490210781012586,7.629062133831587","WARNING","A1 | Dortmund/Unna - Dortmund/Unna"," Dortmund -> Münster",NA,"SLOW_TRAFFIC","24","2025-06-03T13:22:02+02:00","Beginn: 03.06.25 um 13:22 Uhr  Angespannte Verkehrslage, seit 03.06.2025, 13:22 A1: Dortmund -> Münster, 4.2 km vor AK Dortmund/Unna, aus Richtung Lichtendorf  Langsamer Verkehr Durchschnittsgeschwindigkeit: 24 km/h",51.4902107810126,7.62906213383159
"A1","undefined--vi-zus.2025-06-03_12-57-01-000.f.de0","51.821628925122695,7.610378710777431,51.83798105362738,7.589509934651842","51.821628925122695,7.610378710777431","WARNING","A1 | Hohe Heide - Davert"," Dortmund -> Münster",4,"STATIONARY_TRAFFIC","22.799999237060547","2025-06-03T12:59:20+02:00","Beginn: 03.06.25 um 12:59 Uhr  Zusammengesetzte Verkehrsinformation, seit 03.06.2025, 12:59 A1: Dortmund -> Münster, zwischen 1.2 km hinter Hohe Heide und 0.3 km vor Davert  Im Stillstand Reisezeitverlust: 4 Minuten Durchschnittsgeschwindigkeit: 22 km/h",51.8216289251227,7.61037871077743
