"road","identifier","extent","point","display_type","title","subtitle","delay_minutes","abnormalTrafficType","averageSpeed","startTimestamp","description","latitude","longitude"
"A1","undefined--vi-zus.2025-06-03_12-20-13-000.f.de0","49.54636367248138,6.984891281463315,49.568981701662366,6.972817858240293","49.54636367248138,6.984891281463315","WARNING","A1 | Peterberg - Nonnweiler-Braunshausen"," Saarbrücken -> Trier",1,"SLOW_TRAFFIC","53.900001525878906","2025-06-03T12:20:13+02:00","Beginn: 03.06.25 um 12:20 Uhr  Zusammengesetzte Verkehrsinformation, seit 03.06.2025, 12:20 A1: Saarbrücken -> Trier, zwischen 0.4 km hinter Peterberg und 3.2 km vor AS Nonnweiler-Braunshausen  Langsamer Verkehr Reisezeitverlust: 1 Minuten Durchschnittsgeschwindigkeit: 53 km/h",49.5463636724814,6.98489128146332
"A1","undefined--vi-avl.2025-06-03_12-45-13-000.f_016.de0","50.86507417343428,6.804909728265235,50.84960970557533,6.803452278273895","50.86507417343428,6.804909728265235","WARNING","A1 | Gleuel - Hürth"," Köln -> Euskirchen",0,"SLOW_TRAFFIC","62.29999923706055","2025-06-03T12:45:13+02:00","Beginn: 03.06.25 um 12:45 Uhr  Angespannte Verkehrslage, seit 03.06.2025, 12:45 A1: Köln -> Euskirchen, zwischen 3.1 km hinter AS Gleuel und 0.1 km vor AS Hürth  Langsamer Verkehr Reisezeitverlust: 0 Minuten Durchschnittsgeschwindigkeit: 62 km/h",50.8650741734343,6.80490972826524
"A1","undefined--vi-zus.2025-06-03_12-12-42-000.f.de0","51.01483988883511,6.922213025721965,51.037605597671046,6.9845617572499075","51.01483988883511,6.922213025721965","WARNING","A1 | Köln-Nord - Leverkusen"," Euskirchen -> Dortmund",3,"SLOW_TRAFFIC","45.20000076293945","2025-06-03T12:12:42+02:00","Beginn: 03.06.25 um 12:12 Uhr  Zusammengesetzte Verkehrsinformation, seit 03.06.2025, 12:12 A1: Euskirchen -> Dortmund, zwischen 3.0 km hinter AK Köln-Nord und 1.7 km vor AK Leverkusen  Gefahr durch eine ungesicherte Unfallstelle  Langsamer Verkehr Reisezeitverlust: 3 Minuten Durchschnittsgeschwindigkeit: 45 km/h",51.0148398888351,6.92221302572197
"A1","undefined--vi-avl.2025-06-03_08-33-07-000.f_005.de0","51.01339568422919,6.919140398587944,51.00107540093625,6.900535999996291","51.01339568422919,6.919140398587944","WARNING","A1 | Köln-Niehl - Köln-Nord"," Dortmund -> Euskirchen",2,"QUEUING_TRAFFIC","34.29999923706055","2025-06-03T08:33:07+02:00","Beginn: 03.06.25 um 08:33 Uhr  Angespannte Verkehrslage, seit 03.06.2025, 08:33 A1: Dortmund -> Euskirchen, zwischen 2.0 km hinter AS Köln-Niehl und 0.8 km vor AK Köln-Nord  Stockender Verkehr Reisezeitverlust: 2 Minuten Durchschnittsgeschwindigkeit: 34 km/h",51.0133956842292,6.91914039858794
"A1","undefined--vi-hind.2025-06-03_12-31-15-000.f.de0","51.038205418473616,6.980055793844579,51.038243941929494,6.996322591278786","51.038205418473616,6.980055793844579","WARNING","A1 | Leverkusen-West - Leverkusen"," Köln -> Dortmund",NA,NA,NA,"2025-06-03T12:31:15+02:00","Beginn: 03.06.25 um 12:31 Uhr  Hindernis, seit 03.06.2025, 12:31 A1: Köln -> Dortmund, zwischen 1.2 km hinter AK Leverkusen-West und 0.9 km vor AK Leverkusen  Gefahr durch eine ungesicherte Unfallstelle",51.0382054184736,6.98005579384458
"A1","undefined--vi-avl.2025-06-03_12-42-12-000.f_006.de0","51.485169851706594,7.623788705479439,51.543070904704784,7.662859466500725","51.485169851706594,7.623788705479439","WARNING","A1 | Lichtendorf - Kamen-Zentrum"," Köln -> Münster",3,"SLOW_TRAFFIC","55.599998474121094","2025-06-03T12:42:12+02:00","Beginn: 03.06.25 um 12:42 Uhr  Angespannte Verkehrslage, seit 03.06.2025, 12:42 A1: Köln -> Münster, zwischen 2.7 km hinter Lichtendorf und 3.7 km vor AS Kamen-Zentrum  Langsamer Verkehr Reisezeitverlust: 3 Minuten Durchschnittsgeschwindigkeit: 55 km/h",51.4851698517066,7.62378870547944
"A1","undefined--vi-hind.2025-06-03_12-38-11-000.f_003.de0","52.13735532162651,7.7248651508640345,52.13892424135802,7.726136097316463","52.13735532162651,7.7248651508640345","WARNING","A1 | Mühlenbach - Ladbergen"," Münster -> Osnabrück",NA,NA,NA,"2025-06-03T12:38:11+02:00","Beginn: 03.06.25 um 12:38 Uhr  Fahrzeug-Hindernis, seit 03.06.2025, 12:38 A1: Münster -> Osnabrück, zwischen 0.6 km hinter Mühlenbach und 0.9 km vor AS Ladbergen Gefahr durch ein defektes Fahrzeug auf der Fahrbahn",52.1373553216265,7.72486515086403
"A1","undefined--vi-avl.2025-06-03_12-07-29-000.f_007.de0","53.023687020143136,8.821144372884312,53.03185522634935,8.865519550483818","53.023687020143136,8.821144372884312","WARNING","A1 | Bremen/Brinkum - Bremen-Hemelingen"," Osnabrück -> Bremen",1,"SLOW_TRAFFIC","66.80000305175781","2025-06-03T12:07:29+02:00","Beginn: 03.06.25 um 12:07 Uhr  Angespannte Verkehrslage, seit 03.06.2025, 12:07 A1: Osnabrück -> Bremen, zwischen 1.3 km hinter AS Bremen/Brinkum und 1.6 km vor AS Bremen-Hemelingen  Langsamer Verkehr Reisezeitverlust: 1 Minuten Durchschnittsgeschwindigkeit: 66 km/h",53.0236870201431,8.82114437288431
"A1","undefined--vi-avl.2025-06-03_05-47-00-000.f_003.de0","53.053472664686666,9.047192338094867,53.03184767902425,8.865127051627695","53.053472664686666,9.047192338094867","WARNING","A1 | Tuchten - Bremen-Arsten"," Hamburg -> Osnabrück",15,"QUEUING_TRAFFIC","35.79999923706055","2025-06-03T05:47:00+02:00","Beginn: 03.06.25 um 05:47 Uhr  Angespannte Verkehrslage, seit 03.06.2025, 05:47 A1: Hamburg -> Osnabrück, zwischen 5.5 km hinter Tuchten und 0.5 km vor AS Bremen-Arsten  Stockender Verkehr Reisezeitverlust: 15 Minuten Durchschnittsgeschwindigkeit: 35 km/h",53.0534726646867,9.04719233809487
"A2","undefined--vi-avl.2025-06-03_12-41-05-000.f_002.de0","51.5386298801034,6.843310174342619,51.5389081497909,6.866825447097448","51.5386298801034,6.843310174342619","WARNING","A2 | Oberhausen - Oberhausen-Königshardt"," Oberhausen -> Dortmund",0,"SLOW_TRAFFIC","60.900001525878906","2025-06-03T12:41:05+02:00","Beginn: 03.06.25 um 12:41 Uhr  Angespannte Verkehrslage, seit 03.06.2025, 12:41 A2: Oberhausen -> Dortmund, zwischen 0.6 km hinter AK Oberhausen und 0.2 km vor AS Oberhausen-Königshardt  Langsamer Verkehr Reisezeitverlust: 0 Minuten Durchschnittsgeschwindigkeit: 60 km/h",51.5386298801034,6.84331017434262
