"road","identifier","extent","point","display_type","title","subtitle","delay_minutes","abnormalTrafficType","averageSpeed","startTimestamp","description","latitude","longitude"
"A1","undefined--vi-avl.2025-06-02_06-30-00-000.f_008.de0","50.980928248702824,6.852966419230893,50.99471841744613,6.883692149846455","50.980928248702824,6.852966419230893","WARNING","A1 | Köln-Bocklemünd - Köln-Nord"," Euskirchen -> Köln",1,"SLOW_TRAFFIC","58","2025-06-02T06:30:00+02:00","Beginn: 02.06.25 um 06:30 Uhr  Angespannte Verkehrslage, seit 02.06.2025, 06:30 A1: Euskirchen -> Köln, zwischen 0.4 km hinter AS Köln-Bocklemünd und 0.6 km vor AK Köln-Nord  Langsamer Verkehr Reisezeitverlust: 1 Minuten Durchschnittsgeschwindigkeit: 58 km/h",50.9809282487028,6.85296641923089
"A1","undefined--vi-zus.2025-06-02_06-23-30-000.f_001.de0","51.02519703846436,6.945020367682559,51.03755304419632,6.985181731181544","51.02519703846436,6.945020367682559","WARNING","A1 | Köln-Niehl - Leverkusen"," Köln -> Dortmund",2,"SLOW_TRAFFIC","38.5","2025-06-02T06:23:30+02:00","Beginn: 02.06.25 um 06:23 Uhr  Zusammengesetzte Verkehrsinformation, seit 02.06.2025, 06:23 A1: Köln -> Dortmund, zwischen 0.2 km hinter AS Köln-Niehl und 1.7 km vor AK Leverkusen  Langsamer Verkehr Reisezeitverlust: 2 Minuten Durchschnittsgeschwindigkeit: 38 km/h",51.0251970384644,6.94502036768256
"A1","undefined--vi-avl.2025-06-02_06-41-30-000.f_011.de0","51.02511528308247,6.944887938230776,51.02511528308247,6.944887938230776","51.02511528308247,6.944887938230776","WARNING","A1 | Leverkusener Brücke - Leverkusener Brücke"," Köln -> Dortmund",NA,"SLOW_TRAFFIC","27","2025-06-02T06:41:30+02:00","Beginn: 02.06.25 um 06:41 Uhr  Angespannte Verkehrslage, seit 02.06.2025, 06:41 A1: Köln -> Dortmund, 1.5 km vor Leverkusener Brücke, aus Richtung Köln-Niehl  Langsamer Verkehr Durchschnittsgeschwindigkeit: 27 km/h",51.0251152830825,6.94488793823078
"A1","undefined--vi-unf.2025-06-02_06-35-08-000.f_002.de0","51.03868411671551,6.9755912412847305,51.038243941929494,6.996322591278786","51.03868411671551,6.9755912412847305","WARNING","A1 | Leverkusen-West - Leverkusen"," Köln -> Dortmund",NA,NA,NA,"2025-06-02T06:35:08+02:00","Beginn: 02.06.25 um 06:35 Uhr  Unfall, seit 02.06.2025, 06:35 A1: Köln -> Dortmund, zwischen 0.9 km hinter AK Leverkusen-West und 0.9 km vor AK Leverkusen",51.0386841167155,6.97559124128473
"A1","undefined--vi-avl.2025-06-02_06-08-30-000.f_002.de0","51.64510077062319,7.685012999396084,51.64510077062319,7.685012999396084","51.64510077062319,7.685012999396084","WARNING","A1 | Haus Reck - Haus Reck"," Münster -> Dortmund",NA,"QUEUING_TRAFFIC","23","2025-06-02T06:39:31+02:00","Beginn: 02.06.25 um 06:39 Uhr  Angespannte Verkehrslage, seit 02.06.2025, 06:39 A1: Münster -> Dortmund, 2.8 km vor Haus Reck, aus Richtung Hamm/Bergkamen  Stockender Verkehr Durchschnittsgeschwindigkeit: 23 km/h",51.6451007706232,7.68501299939608
"A1","undefined--vi-avl.2025-06-02_05-12-30-000.f.de0","51.64909380990774,7.684165951099204,51.58254794196128,7.678513222618937","51.64909380990774,7.684165951099204","WARNING","A1 | Hamm/Bergkamen - Kamen-Zentrum"," Münster -> Dortmund",12,"STATIONARY_TRAFFIC","28.100000381469727","2025-06-02T05:12:30+02:00","Beginn: 02.06.25 um 05:12 Uhr  Angespannte Verkehrslage, seit 02.06.2025, 05:12 A1: Münster -> Dortmund, zwischen 0.4 km hinter AS Hamm/Bergkamen und 1.0 km vor AS Kamen-Zentrum  Im Stillstand Reisezeitverlust: 12 Minuten Durchschnittsgeschwindigkeit: 28 km/h",51.6490938099077,7.6841659510992
"A1","undefined--vi-avl.2025-06-02_06-21-30-000.f_012.de0","53.038705331066545,8.901085876296435,53.03242141582492,8.866472370739377","53.038705331066545,8.901085876296435","WARNING","A1 | Mahndorfer Marsch - Bremen-Arsten"," Bremen -> Osnabrück",1,"SLOW_TRAFFIC","51.29999923706055","2025-06-02T06:21:30+02:00","Beginn: 02.06.25 um 06:21 Uhr  Angespannte Verkehrslage, seit 02.06.2025, 06:21 A1: Bremen -> Osnabrück, zwischen 3.3 km hinter Mahndorfer Marsch und 0.6 km vor AS Bremen-Arsten  Langsamer Verkehr Reisezeitverlust: 1 Minuten Durchschnittsgeschwindigkeit: 51 km/h",53.0387053310665,8.90108587629643
"A1","undefined--vi-zus.2025-06-02_06-33-00-000.f.de0","53.380203007864196,9.976202297431607,53.371377391057834,9.881910676805727","53.380203007864196,9.976202297431607","WARNING","A1 | Seevetal-Hittfeld - Buchholzer Dreieck"," Hamburg -> Bremen",NA,NA,NA,"2025-06-02T06:33:00+02:00","Beginn: 02.06.25 um 06:33 Uhr  Zusammengesetzte Verkehrsinformation, seit 02.06.2025, 06:33 A1: Hamburg -> Bremen, zwischen 0.3 km hinter AS Seevetal-Hittfeld und 1.8 km vor AD Buchholzer Dreieck  Gefahr durch Gegenstände auf der Fahrbahn  A1 Hamburg Richtung Bremen
zwischen Hittfeld und Dibbersen
Gefahr durch defekten LKW auf dem Standstreifen",53.3802030078642,9.97620229743161
"A1","undefined--vi-avl.2025-06-02_06-41-30-000.f_001.de0","53.421782535536764,10.032845937038365,53.421782535536764,10.032845937038365","53.421782535536764,10.032845937038365","WARNING","A1 | Hamburg-Harburg - Hamburg-Harburg"," Bremen -> Hamburg",NA,"QUEUING_TRAFFIC","11","2025-06-02T06:41:30+02:00","Beginn: 02.06.25 um 06:41 Uhr  Angespannte Verkehrslage, seit 02.06.2025, 06:41 A1: Bremen -> Hamburg, 5.1 km vor AS Hamburg-Harburg, aus Richtung Maschener Kreuz  Stockender Verkehr Durchschnittsgeschwindigkeit: 11 km/h",53.4217825355368,10.0328459370384
"A1","undefined--vi-avl.2025-06-02_06-38-00-000.f_005.de0","53.511385545175074,10.102294308014285,53.511385545175074,10.102294308014285","53.511385545175074,10.102294308014285","WARNING","A1 | Hamburg-Moorfleet - Hamburg-Moorfleet"," Lübeck -> Hamburg",NA,"QUEUING_TRAFFIC","25","2025-06-02T06:41:30+02:00","Beginn: 02.06.25 um 06:41 Uhr  Angespannte Verkehrslage, seit 02.06.2025, 06:41 A1: Lübeck -> Hamburg, 0.8 km vor AS Hamburg-Moorfleet, aus Richtung Tunnel Moorfleet  Stockender Verkehr Durchschnittsgeschwindigkeit: 25 km/h",53.5113855451751,10.1022943080143
