"road","identifier","extent","point","display_type","title","subtitle","delay_minutes","abnormalTrafficType","averageSpeed","startTimestamp","description","latitude","longitude"
"A1","undefined--vi-avl.2025-05-24_08-41-30-000.f.de0","50.82117188200968,6.785138558134562,50.85269977087939,6.804601196334652","50.82117188200968,6.785138558134562","WARNING","A1 | Erfttal - Ville"," Euskirchen -> Köln",11,"STATIONARY_TRAFFIC","17.700000762939453",2025-05-24,"Beginn: 24.05.25 um 08:41 Uhr  Angespannte Verkehrslage, seit 24.05.2025, 08:41 A1: Euskirchen -> Köln, zwischen 0.5 km hinter AD Erfttal und 0.6 km vor Ville  Im Stillstand Reisezeitverlust: 11 Minuten Durchschnittsgeschwindigkeit: 17 km/h",50.8211718820097,6.78513855813456
"A1","undefined--vi-avl.2025-05-24_08-48-30-000.f_001.de0","50.82117188200968,6.785138558134562,50.82117188200968,6.785138558134562","50.82117188200968,6.785138558134562","WARNING","A1 | Hürth - Hürth"," Euskirchen -> Köln",NA,"STATIONARY_TRAFFIC","11",2025-05-24,"Beginn: 24.05.25 um 11:46 Uhr  Angespannte Verkehrslage, seit 24.05.2025, 11:46 A1: Euskirchen -> Köln, 3.3 km vor AS Hürth, aus Richtung Erfttal  Im Stillstand Durchschnittsgeschwindigkeit: 11 km/h",50.8211718820097,6.78513855813456
"A1","undefined--vi-avl.2025-05-24_10-26-00-000.f_003.de0","51.01683906374777,6.92652397005503,51.02190037048525,6.938800274295069","51.01683906374777,6.92652397005503","WARNING","A1 | Köln-Nord - Köln-Niehl"," Euskirchen -> Dortmund",0,"SLOW_TRAFFIC","51.400001525878906",2025-05-24,"Beginn: 24.05.25 um 10:26 Uhr  Angespannte Verkehrslage, seit 24.05.2025, 10:26 A1: Euskirchen -> Dortmund, zwischen 3.4 km hinter AK Köln-Nord und 0.4 km vor AS Köln-Niehl  Langsamer Verkehr Reisezeitverlust: 0 Minuten Durchschnittsgeschwindigkeit: 51 km/h",51.0168390637478,6.92652397005503
"A1","undefined--vi-avl.2025-05-24_10-26-00-000.f.de0","51.02639522216457,6.946963559247428,51.03752935887865,6.985478808650202","51.02639522216457,6.946963559247428","WARNING","A1 | Köln-Niehl - Leverkusen"," Köln -> Dortmund",4,"SLOW_TRAFFIC","29.600000381469727",2025-05-24,"Beginn: 24.05.25 um 10:26 Uhr  Angespannte Verkehrslage, seit 24.05.2025, 10:26 A1: Köln -> Dortmund, zwischen 0.4 km hinter AS Köln-Niehl und 1.6 km vor AK Leverkusen  Langsamer Verkehr Reisezeitverlust: 4 Minuten Durchschnittsgeschwindigkeit: 29 km/h",51.0263952221646,6.94696355924743
"A1","undefined--vi-avl.2025-05-24_11-46-03-000.f_007.de0","51.32328405378786,7.2937752683926576,51.32328405378786,7.2937752683926576","51.32328405378786,7.2937752683926576","WARNING","A1 | Wuppertal-Nord - Wuppertal-Nord"," Dortmund -> Köln",NA,"SLOW_TRAFFIC","27",2025-05-24,"Beginn: 24.05.25 um 11:46 Uhr  Angespannte Verkehrslage, seit 24.05.2025, 11:46 A1: Dortmund -> Köln, 1.9 km vor AK Wuppertal-Nord, aus Richtung Bruchmühle  Langsamer Verkehr Durchschnittsgeschwindigkeit: 27 km/h",51.3232840537879,7.29377526839266
"A1","undefined--vi-avl.2025-05-24_11-45-30-000.f_005.de0","51.32328405378786,7.2937752683926576,51.31968557546143,7.283593723099016","51.32328405378786,7.2937752683926576","WARNING","A1 | Bruchmühle - Wuppertal-Nord"," Dortmund -> Köln",0,"SLOW_TRAFFIC","52.099998474121094",2025-05-24,"Beginn: 24.05.25 um 11:45 Uhr  Angespannte Verkehrslage, seit 24.05.2025, 11:45 A1: Dortmund -> Köln, zwischen 1.1 km hinter Bruchmühle und 1.0 km vor AK Wuppertal-Nord  Langsamer Verkehr Reisezeitverlust: 0 Minuten Durchschnittsgeschwindigkeit: 52 km/h",51.3232840537879,7.29377526839266
"A1","undefined--vi-zus.2025-05-24_09-56-10-000.f_004.de0","52.208006477643416,7.830429250347653,52.20899562447919,7.835442421206988","52.208006477643416,7.830429250347653","WARNING","A1 | Lengerich - Tecklenburger Land"," Münster -> Osnabrück",NA,NA,NA,2025-05-24,"Beginn: 24.05.25 um 09:56 Uhr  Zusammengesetzte Verkehrsinformation, seit 24.05.2025, 09:56 A1: Münster -> Osnabrück, zwischen 1.4 km hinter AS Lengerich und 4.3 km vor Tecklenburger Land  Gefahr durch Personen auf der Fahrbahn  A1 Hansalinie, Münster Richtung Osnabrück in Höhe Rastplatz Bashake Gefahr durch liegengebliebenes Fahrzeug auf dem mittleren Fahrstreifen, Gefahr durch Personen auf der Fahrbahn, bitte vorsichtig fahren",52.2080064776434,7.83042925034765
"A1","undefined--vi-avl.2025-05-24_07-20-00-000.f.de0","52.88296370092421,8.2729947999997,52.9162666730771,8.457701022075533","52.88296370092421,8.2729947999997","WARNING","A1 | Ahlhorner Heide - Delmetal-Süd"," Osnabrück -> Bremen",21,"STATIONARY_TRAFFIC","28.899999618530273",2025-05-24,"Beginn: 24.05.25 um 07:20 Uhr  Angespannte Verkehrslage, seit 24.05.2025, 07:20 A1: Osnabrück -> Bremen, zwischen 4.3 km hinter AS Ahlhorner Heide und 6.4 km vor Delmetal-Süd  Im Stillstand Reisezeitverlust: 21 Minuten Durchschnittsgeschwindigkeit: 28 km/h",52.8829637009242,8.2729947999997
"A1","undefined--vi-avl.2025-05-24_10-44-06-000.f_004.de0","52.88296370092421,8.2729947999997,52.88296370092421,8.2729947999997","52.88296370092421,8.2729947999997","WARNING","A1 | Engelmannsbäke-Süd - Engelmannsbäke-Süd"," Osnabrück -> Bremen",NA,"STATIONARY_TRAFFIC","29",2025-05-24,"Beginn: 24.05.25 um 11:46 Uhr  Angespannte Verkehrslage, seit 24.05.2025, 11:46 A1: Osnabrück -> Bremen, 0.1 km vor Engelmannsbäke-Süd, aus Richtung Ahlhorner Heide  Im Stillstand Durchschnittsgeschwindigkeit: 29 km/h",52.8829637009242,8.2729947999997
"A1","undefined--vi-avl.2025-05-24_09-12-30-000.f_006.de0","53.02998975845399,8.95857960178327,53.02998975845399,8.95857960178327","53.02998975845399,8.95857960178327","WARNING","A1 | Mahndorfer Marsch - Mahndorfer Marsch"," Bremen -> Osnabrück",NA,"STATIONARY_TRAFFIC","13",2025-05-24,"Beginn: 24.05.25 um 11:46 Uhr  Angespannte Verkehrslage, seit 24.05.2025, 11:46 A1: Bremen -> Osnabrück, 1.0 km vor Mahndorfer Marsch, aus Richtung Uphusen/Bremen-Mahndorf  Im Stillstand Durchschnittsgeschwindigkeit: 13 km/h",53.029989758454,8.95857960178327
