"road","identifier","extent","point","display_type","title","subtitle","delay_minutes","abnormalTrafficType","averageSpeed","startTimestamp","description","latitude","longitude"
"A3","undefined--vi-avl.2025-05-23_04-12-30-000.f_001.de0","48.44969190742442,13.375818469222002,48.4302912348023,13.380863947783416","48.44969190742442,13.375818469222002","WARNING","A3 | Rottal-West - Neuhaus am Inn"," Passau -> Linz",1,"SLOW_TRAFFIC","40.900001525878906",2025-05-23,"Beginn: 23.05.25 um 04:12 Uhr  Angespannte Verkehrslage, seit 23.05.2025, 04:12 A3: Passau -> Linz, zwischen 0.7 km hinter Rottal-West und 3.4 km vor Neuhaus am Inn  Langsamer Verkehr Reisezeitverlust: 1 Minuten Durchschnittsgeschwindigkeit: 40 km/h",48.4496919074244,13.375818469222
"A3","undefined--vi-avl.2025-05-23_04-14-00-000.f_004.de0","48.56734024297576,13.38010298643839,48.574157548876535,13.368834098053403","48.56734024297576,13.38010298643839","WARNING","A3 | Passau-Mitte - Donautal"," Passau -> Nürnberg",0,"SLOW_TRAFFIC","66.69999694824219",2025-05-23,"Beginn: 23.05.25 um 04:14 Uhr  Angespannte Verkehrslage, seit 23.05.2025, 04:14 A3: Passau -> Nürnberg, zwischen 0.5 km hinter AS Passau-Mitte und 1.7 km vor Donautal  Langsamer Verkehr Reisezeitverlust: 0 Minuten Durchschnittsgeschwindigkeit: 66 km/h",48.5673402429758,13.3801029864384
"A3","undefined--vi-hind.2025-05-23_01-11-30-000.f_007.de0","49.39940430094358,11.304096300006345,49.38154920094366,11.340370000006855","49.39940430094358,11.304096300006345","WARNING","A3 | Altdorf - Klosterblick"," Nürnberg -> Passau",NA,NA,NA,2025-05-23,"Beginn: 23.05.25 um 01:11 Uhr  Fahrzeug-Hindernis, seit 23.05.2025, 01:11 A3: Nürnberg -> Passau, zwischen 0.6 km hinter AK Altdorf und 5.5 km vor Klosterblick Gefahr durch ein defektes Fahrzeug auf der Fahrbahn",49.3994043009436,11.3040963000063
"A4","undefined--vi-avl.2025-05-23_04-19-30-000.f_004.de0","50.88646932533563,9.822770095321248,50.892629471081264,9.852281583294193","50.88646932533563,9.822770095321248","WARNING","A4 | Bad Hersfeld - Friedewald"," Bad Hersfeld -> Erfurt",1,"SLOW_TRAFFIC","61.79999923706055",2025-05-23,"Beginn: 23.05.25 um 04:19 Uhr  Angespannte Verkehrslage, seit 23.05.2025, 04:19 A4: Bad Hersfeld -> Erfurt, zwischen 8.7 km hinter AS Bad Hersfeld und 0.3 km vor AS Friedewald  Langsamer Verkehr Reisezeitverlust: 1 Minuten Durchschnittsgeschwindigkeit: 61 km/h",50.8864693253356,9.82277009532125
"A4","undefined--vi-avl.2025-05-23_04-16-00-000.f_002.de0","50.846180869730524,9.665618885404463,50.8490333266132,9.639961583115483","50.846180869730524,9.665618885404463","WARNING","A4 | Bad Hersfeld - Kirchheimer Dreieck"," Erfurt -> Bad Hersfeld",0,"SLOW_TRAFFIC","61.70000076293945",2025-05-23,"Beginn: 23.05.25 um 04:16 Uhr  Angespannte Verkehrslage, seit 23.05.2025, 04:16 A4: Erfurt -> Bad Hersfeld, zwischen 4.2 km hinter AS Bad Hersfeld und 4.2 km vor AD Kirchheimer Dreieck  Langsamer Verkehr Reisezeitverlust: 0 Minuten Durchschnittsgeschwindigkeit: 61 km/h",50.8461808697305,9.66561888540446
"A4","undefined--vi-avl.2025-05-23_04-14-00-000.f_003.de0","51.06156749068453,13.555629503533858,51.06012606586396,13.496394054760541","51.06156749068453,13.555629503533858","WARNING","A4 | Dresdner Tor - Nossen"," Dresden -> Chemnitz",2,"SLOW_TRAFFIC","61.400001525878906",2025-05-23,"Beginn: 23.05.25 um 04:14 Uhr  Angespannte Verkehrslage, seit 23.05.2025, 04:14 A4: Dresden -> Chemnitz, zwischen 1.1 km hinter Dresdner Tor und 9.4 km vor AD Nossen  Langsamer Verkehr Reisezeitverlust: 2 Minuten Durchschnittsgeschwindigkeit: 61 km/h",51.0615674906845,13.5556295035339
"A5","undefined--vi-zus.2025-05-23_03-55-00-000.f.de0","49.01980790094491,8.470768799999881,49.066938916540444,8.506381038892826","49.01980790094491,8.470768799999881","WARNING","A5 | Karlsruhe-Nord - Kreuzlach"," Karlsruhe -> Heidelberg",NA,NA,NA,2025-05-23,"Beginn: 23.05.25 um 03:55 Uhr  Zusammengesetzte Verkehrsinformation, seit 23.05.2025, 03:55 A5: Karlsruhe -> Heidelberg, zwischen 0.5 km hinter AS Karlsruhe-Nord und 0.3 km vor Kreuzlach  A5 Karlsruhe Richtung Heidelberg zwischen Karlsruhe-Nord und Rastplatz Höfenschlag Gefahr durch 1 defekten LKW auf dem Standstreifen",49.0198079009449,8.47076879999988
"A6","undefined--vi-avl.2025-05-23_04-18-30-000.f.de0","49.51596174166515,8.560183030501952,49.50597950094318,8.560631999999892","49.51596174166515,8.560183030501952","WARNING","A6 | Viernheimer Kreuz - Mannheim"," Mannheim -> Heilbronn",0,"SLOW_TRAFFIC","57.29999923706055",2025-05-23,"Beginn: 23.05.25 um 04:18 Uhr  Angespannte Verkehrslage, seit 23.05.2025, 04:18 A6: Mannheim -> Heilbronn, zwischen 0.8 km hinter AK Viernheimer Kreuz und 5.3 km vor AK Mannheim  Langsamer Verkehr Reisezeitverlust: 0 Minuten Durchschnittsgeschwindigkeit: 57 km/h",49.5159617416652,8.56018303050195
"A6","undefined--vi-hind.2025-05-23_03-54-00-000.f_001.de0","49.20697990094429,9.63569100000015,49.21538980094424,9.591869900000152","49.20697990094429,9.63569100000015","WARNING","A6 | Hohenlohe - Neuenstein"," Nürnberg -> Heilbronn",NA,NA,NA,2025-05-23,"Beginn: 23.05.25 um 03:54 Uhr  Hindernis, seit 23.05.2025, 03:54 A6: Nürnberg -> Heilbronn, zwischen 0.3 km hinter Hohenlohe und 0.3 km vor AS Neuenstein  Gefahr durch Gegenstände auf der Fahrbahn",49.2069799009443,9.63569100000015
"A6","undefined--vi-hind.2025-05-23_04-15-30-000.f.de0","49.18379876717364,10.05364223635748,49.18381737435823,10.056194009949811","49.18379876717364,10.05364223635748","WARNING","A6 | Reußenberg - Crailsheim"," Heilbronn -> Nürnberg",NA,NA,NA,2025-05-23,"Beginn: 23.05.25 um 04:15 Uhr  Fahrzeug-Hindernis, seit 23.05.2025, 04:15 A6: Heilbronn -> Nürnberg, zwischen 4.5 km hinter Reußenberg und 1.2 km vor AS Crailsheim Gefahr durch ein defektes Fahrzeug auf der Fahrbahn",49.1837987671736,10.0536422363575
